#24hr_muscle_enriched_
#24hr_muscle_enriched_
#24hr_muscle_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,muscle cell(WBbt:0003675),97.47922437673131,181.0,1.856805910770105,2.4686364984530874e-21
1,smooth muscle(WBbt:0005781),29.808864265927976,66.0,2.2141064956788403,1.3418354311712246e-09
2,body wall musculature(WBbt:0005813),87.80193905817174,232.0,2.6423106652154025,4.810974465985131e-62
3,vulval muscle(WBbt:0005821),46.12603878116344,116.0,2.514848512146053,1.310277576865028e-22
4,head muscle(WBbt:0006761),12.502770083102492,22.0,1.7596100587127508,0.04525046611718496
5,anal sphincter muscle(WBbt:0005798),9.11218836565097,38.0,4.170238638090895,2.516603506857091e-14
6,body muscle cell(WBbt:0007810),66.89335180055402,140.0,2.0928836159595834,4.448507581188591e-20
7,muscular system(WBbt:0005737),130.60803324099723,255.0,1.9524067063277448,1.844927047858301e-42
8,muscle of the reproductive system(WBbt:0005786),16.670360110803323,29.0,1.7396144898637422,0.016903158352994357
9,non-striated muscle(WBbt:0005780),88.4376731301939,169.0,1.9109503226210613,7.531865995881782e-21
10,egg-laying apparatus(WBbt:0008587),99.17451523545706,143.0,1.441902687000726,1.665281769561327e-06
11,uterine muscle(WBbt:0005342),9.32409972299169,25.0,2.6812240047534166,2.158541456441438e-05
12,hermaphrodite-specific(WBbt:0005758),133.8573407202216,167.0,1.2475968751616742,0.001426148703685825
13,anal depressor muscle(WBbt:0004292),30.44459833795014,95.0,3.1204221827942313,3.511749492191252e-25
14,pharyngeal muscle cell(WBbt:0005451),26.91274238227147,52.0,1.932170243425454,1.4608827246266885e-05
