#ALM_PLM_enriched_
#ALM_PLM_enriched_
#ALM_PLM_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,sensory neuron(WBbt:0005759),13.462603878116344,38.0,2.822633744855967,7.067343823150331e-10
1,lumbar ganglion left(WBbt:0005098),5.069252077562327,27.0,5.326229508196722,3.513791091728169e-13
2,embryonic cell(WBbt:0007028),15.722991689750694,34.0,2.1624383368569413,1.1243033660855049e-05
3,pharyngeal segment(WBbt:0005789),4.60387811634349,13.0,2.8237063778580023,0.0017070770427904695
4,PVDL(WBbt:0004090),1.1301939058171744,7.0,6.193627450980393,0.0001841743552721813
5,ganglion(WBbt:0005189),29.617728531855956,52.0,1.7557052001496445,2.483141833266285e-06
6,ALML(WBbt:0003954),1.512465373961219,20.0,13.22344322344322,1.6429796963681943e-17
7,PVDR(WBbt:0004088),1.1301939058171744,7.0,6.193627450980393,0.0001841743552721813
8,posterior lateral right ganglion(WBbt:0005463),1.811634349030471,8.0,4.415902140672783,0.0007921937365933456
9,ALMR(WBbt:0003953),1.4958448753462603,20.0,13.37037037037037,1.6429796963681943e-17
10,DA neuron(WBbt:0005278),1.1301939058171744,4.0,3.53921568627451,0.042236253498694344
11,PLML(WBbt:0004104),1.4792243767313018,24.0,16.224719101123597,4.379842959655189e-23
12,AVM(WBbt:0003832),1.1966759002770082,16.0,13.370370370370372,2.6246819473703767e-14
13,mechanosensory neuron(WBbt:0008431),5.684210526315789,32.0,5.62962962962963,2.7452815109045434e-16
14,marginal cell(WBbt:0003673),1.1301939058171744,4.0,3.53921568627451,0.042236253498694344
15,tail(WBbt:0005741),27.822714681440445,49.0,1.7611509358821185,7.755711406905715e-06
16,neuron(WBbt:0003679),46.68698060941828,64.0,1.3708318500059335,0.00028185394567425596
17,lumbar right ganglion neuron(WBbt:0005600),5.002770083102493,28.0,5.596899224806202,3.975576491873592e-14
18,posterior lateral left ganglion(WBbt:0005464),2.808864265927978,19.0,6.76429980276134,3.2125834491085745e-11
19,interneuron(WBbt:0005113),8.77562326869806,18.0,2.0511363636363638,0.007553890174820604
20,lumbar left ganglion neuron(WBbt:0005097),4.836565096952909,27.0,5.582474226804123,1.152428756137131e-13
21,DB neuron(WBbt:0005274),0.9307479224376731,4.0,4.2976190476190474,0.018746762690770233
22,PLMR(WBbt:0004103),1.4626038781163433,24.0,16.40909090909091,4.379842959655189e-23
23,head neuron(WBbt:0006751),36.066481994459835,49.0,1.3586021505376344,0.013161823218068837
24,pharyngeal cell(WBbt:0005460),12.448753462603879,24.0,1.9279038718291053,0.003329318699102775
25,PVM(WBbt:0004086),0.9806094182825484,13.0,13.257062146892656,6.1017118068040974e-12
26,lumbar ganglion right(WBbt:0005601),5.218836565096953,28.0,5.365180467091295,1.0879121589090367e-13
27,terminal bulb(WBbt:0003732),3.3074792243767313,10.0,3.023450586264657,0.003968719236475944
28,body region(WBbt:0005738),70.803324099723,80.0,1.1298904538341157,0.003968719236475944
29,metacorpus(WBbt:0003711),2.742382271468144,7.0,2.5525252525252524,0.043943051738323406
