#AVA-neuron_embryo_enriched_
#AVA-neuron_embryo_enriched_
#AVA-neuron_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,AFDR(WBbt:0003991),1.7309062129006727,6.0,3.46639231824417,0.018326961603005534
1,lateral ganglion right neuron(WBbt:0005100),15.449940641076374,31.0,2.006480200809385,0.001387261120960663
2,pharyngeal neuron(WBbt:0005439),8.366046695686585,17.0,2.0320230831086517,0.018326961603005534
3,AVAL(WBbt:0003870),1.634744756628413,12.0,7.340595497458243,8.842093219644463e-07
4,pharyngeal nervous system(WBbt:0005440),8.398100514444005,18.0,2.14334181509754,0.008495685503994337
5,dorsal-rectal ganglion neuron(WBbt:0005801),2.2437673130193905,10.0,4.45679012345679,0.0004198889561161154
6,lateral ganglion left neuron(WBbt:0005102),15.481994459833796,31.0,2.0023259974950793,0.001387261120960663
7,ventral ganglion (ant)(WBbt:0005266),3.3335971507716655,11.0,3.2997388414055084,0.0021822727054315203
8,lateral ganglion left(WBbt:0005103),15.546102097348635,31.0,1.9940689830724194,0.001387261120960663
9,neuron(WBbt:0003679),90.0391768895924,108.0,1.1994778687551917,0.017094102275995792
10,motor neuron(WBbt:0005409),14.039572615749902,31.0,2.208044421895259,0.00027013392392876383
11,interneuron(WBbt:0005113),16.92441630391769,28.0,1.6544145155256267,0.024921177973850805
12,DB neuron(WBbt:0005274),1.7950138504155124,7.0,3.8996913580246915,0.005480117750232132
13,PVQL(WBbt:0004076),1.6026909378709933,7.0,4.367654320987654,0.0030486764256470603
14,PVQR(WBbt:0004074),1.6026909378709933,7.0,4.367654320987654,0.0030486764256470603
15,head motor neuron(WBbt:0008610),4.359319351009101,17.0,3.899691358024692,1.3227508673371793e-05
16,command interneuron(WBbt:0007804),2.916897506925208,14.0,4.799620132953466,1.0259823939310027e-05
17,AVAR(WBbt:0003869),1.634744756628413,12.0,7.340595497458243,8.842093219644463e-07
18,nerve ring neuron(WBbt:0006974),13.462603878116344,26.0,1.931275720164609,0.005176566232873805
19,lateral ganglion right(WBbt:0005101),15.514048278591215,31.0,1.9981889603101723,0.001387261120960663
20,cholinergic neuron(WBbt:0006840),10.898298377522753,22.0,2.018663761801017,0.006462343482692707
21,AFDL(WBbt:0003993),1.7629600316580927,6.0,3.4033670033670034,0.01849688005882094
