#FLP_enriched_
#FLP_enriched_
#FLP_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,sensory neuron(WBbt:0005759),16.82825484764543,51.0,3.0306172839506176,1.2555718628266618e-14
1,lumbar ganglion left(WBbt:0005098),6.336565096952908,37.0,5.83912568306011,1.9153126779338356e-19
2,embryonic cell(WBbt:0007028),19.653739612188367,44.0,2.2387596899224804,9.670962562485507e-08
3,male gonad(WBbt:0006794),2.0775623268698062,7.0,3.369333333333333,0.006653537592170063
4,pharyngeal segment(WBbt:0005789),5.754847645429363,18.0,3.127797833935018,2.9790947808578954e-05
5,PVT(WBbt:0004070),1.8282548476454292,5.0,2.734848484848485,0.045475708716583726
6,PVDL(WBbt:0004090),1.412742382271468,11.0,7.786274509803922,1.2052412891021836e-07
7,ganglion(WBbt:0005189),37.02216066481994,67.0,1.8097268986157875,7.528166344331242e-09
8,ALML(WBbt:0003954),1.8905817174515238,23.0,12.165567765567763,1.5293240451580251e-19
9,Cell(WBbt:0004017),89.14819944598338,101.0,1.1329449234832596,0.000319647707983376
10,PVDR(WBbt:0004088),1.412742382271468,11.0,7.786274509803922,1.2052412891021836e-07
11,pharyngeal neuron(WBbt:0005439),5.422437673130194,17.0,3.1351213282247765,5.0082890942434065e-05
12,pharyngeal nervous system(WBbt:0005440),5.443213296398892,17.0,3.1231552162849874,5.0754220461032434e-05
13,posterior lateral right ganglion(WBbt:0005463),2.2645429362880884,15.0,6.623853211009175,7.528166344331242e-09
14,dorsal-rectal ganglion neuron(WBbt:0005801),1.4542936288088641,5.0,3.4380952380952383,0.017384606053988786
15,ALMR(WBbt:0003953),1.8698060941828256,23.0,12.30074074074074,1.3072723375508087e-19
16,DA neuron(WBbt:0005278),1.412742382271468,5.0,3.53921568627451,0.015380625045443732
17,PLML(WBbt:0004104),1.8490304709141274,27.0,14.602247191011235,1.0871761385107313e-24
18,AVM(WBbt:0003832),1.4958448753462603,21.0,14.03888888888889,1.9153126779338356e-19
19,GABAergic neuron(WBbt:0005190),3.2825484764542936,8.0,2.4371308016877635,0.026702308113407503
20,tail(WBbt:0005741),34.77839335180056,62.0,1.7827160493827157,1.222953005747378e-07
21,ventral ganglion (ant)(WBbt:0005266),2.160664819944598,7.0,3.2397435897435902,0.008135559506867021
22,VA neuron(WBbt:0005339),1.080332409972299,4.0,3.7025641025641027,0.022429083393856932
23,sperm(WBbt:0006798),1.9113573407202216,8.0,4.185507246376812,0.0008107066926825943
24,ciliated neuron(WBbt:0006816),16.82825484764543,28.0,1.6638683127572016,0.009816710387504828
25,mechanosensory neuron(WBbt:0008431),7.105263157894736,41.0,5.770370370370371,4.2190229711019e-21
26,neuron(WBbt:0003679),58.358725761772845,83.0,1.422238044381156,1.1334449295883422e-06
27,lumbar right ganglion neuron(WBbt:0005600),6.253462603878116,38.0,6.076633444075305,2.5589349998373287e-20
28,motor neuron(WBbt:0005409),9.09972299168975,17.0,1.8681887366818875,0.0194315378365567
29,posterior lateral left ganglion(WBbt:0005464),3.5110803324099726,26.0,7.405128205128205,3.56481987456254e-16
30,interneuron(WBbt:0005113),10.969529085872576,32.0,2.9171717171717173,3.450325635947359e-08
31,lumbar left ganglion neuron(WBbt:0005097),6.0457063711911365,37.0,6.120045819014891,6.210209318947451e-20
32,DB neuron(WBbt:0005274),1.1634349030470914,5.0,4.2976190476190474,0.006561891460194842
33,preanal ganglion neuron(WBbt:0005447),3.0332409972299166,7.0,2.3077625570776257,0.04909317260069307
34,head neuron(WBbt:0006751),45.08310249307479,60.0,1.3308755760368665,0.0071901487688661985
35,deirid neuron(WBbt:0006928),1.2257617728531855,4.0,3.2632768361581923,0.03602255593470878
36,pharyngeal cell(WBbt:0005460),15.560941828254848,28.0,1.7993769470404986,0.003114747108620574
37,nerve ring neuron(WBbt:0006974),8.725761772853186,17.0,1.9482539682539681,0.013224193908808596
38,PVM(WBbt:0004086),1.2257617728531855,13.0,10.605649717514124,1.249400949096073e-10
39,pharyngeal motor neuron(WBbt:0003677),1.371191135734072,7.0,5.105050505050505,0.00045980235277193844
40,cholinergic neuron(WBbt:0006840),7.06371191135734,17.0,2.4066666666666667,0.0013492540777578193
41,DD neuron(WBbt:0005270),1.2880886426592797,4.0,3.1053763440860216,0.043394996185677936
42,anterior ganglion (post)(WBbt:0005371),4.4667590027700825,10.0,2.238759689922481,0.02451072988034013
43,lumbar ganglion right(WBbt:0005601),6.523545706371191,38.0,5.825053078556263,8.312501700754897e-20
44,terminal bulb(WBbt:0003732),4.134349030470914,15.0,3.628140703517588,2.6947613782061778e-05
45,body region(WBbt:0005738),88.50415512465375,100.0,1.1298904538341157,0.0008107066926825943
46,PLMR(WBbt:0004103),1.8282548476454292,27.0,14.76818181818182,1.0871761385107313e-24
47,metacorpus(WBbt:0003711),3.42797783933518,13.0,3.7923232323232328,5.4935494548403845e-05
48,dorsal ganglion(WBbt:0005214),2.5761772853185594,9.0,3.4935483870967743,0.0015805782801295582
