#GABAergic-motor-neurons_embryo_enriched_
#GABAergic-motor-neurons_embryo_enriched_
#GABAergic-motor-neurons_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,hermaphrodite somatic gonadal cell(WBbt:0007815),14.72338741590819,23.0,1.5621405149707037,0.029398305831467214
1,sensory neuron(WBbt:0005759),25.482785912148795,46.0,1.8051401506328129,6.762321738398286e-05
2,lumbar ganglion left(WBbt:0005098),9.595370003957262,25.0,2.6054232395092276,1.6994651706411893e-05
3,HSNL(WBbt:0004758),3.3977047882865055,11.0,3.2374796179827627,0.000673938347531335
4,embryonic cell(WBbt:0007028),29.761377127028098,57.0,1.91523395428617,6.642805730604866e-07
5,male-specific(WBbt:0005757),6.040364068064899,15.0,2.4832940251572326,0.0012750032964552508
6,serotonergic neuron(WBbt:0006837),7.330233478432925,19.0,2.5920047507220554,0.0002101020745636589
7,pharyngeal segment(WBbt:0005789),8.714483577364463,21.0,2.409781350044275,0.00026942156235793175
8,oxygene sensory neuron(WBbt:0008432),3.334784329244163,7.0,2.0990862703215853,0.04491821509393845
9,HSNR(WBbt:0004757),3.3662445587653345,11.0,3.2677364368424144,0.0006302525304707391
10,PVT(WBbt:0004070),2.7685001978630783,6.0,2.1672384219554033,0.049526779841111646
11,ganglion(WBbt:0005189),56.062129006727346,91.0,1.623199147308162,3.765969756758272e-08
12,lateral ganglion right neuron(WBbt:0005100),15.16383062920459,28.0,1.846499125760067,0.0016484809472019117
13,Cell(WBbt:0004017),134.99584487534625,148.0,1.0963300399109444,0.0017072387232941774
14,muscle cell(WBbt:0003675),43.415116739216465,63.0,1.4511074651353568,0.0009486875745735572
15,pharyngeal neuron(WBbt:0005439),8.211119905025722,22.0,2.6792934769512518,3.7845720067302565e-05
16,AVAL(WBbt:0003870),1.6044717055797388,7.0,4.362806757923295,0.0007889817381243136
17,pharyngeal nervous system(WBbt:0005440),8.242580134546893,23.0,2.790388400787364,1.3647823301868476e-05
18,post-embryonic cell(WBbt:0007030),6.575187969924811,15.0,2.2813036020583195,0.0028667890623139745
19,smooth muscle(WBbt:0005781),13.27621685793431,24.0,1.8077438969864972,0.004359363404597062
20,dorsal nerve cord(WBbt:0006750),8.242580134546893,31.0,3.7609582793220993,2.3797804100540737e-10
