#GABAergic-motor-neurons_larva_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,sensory neuron(WBbt:0005759),8.173723783142066,16.0,1.9574921326555312,0.015675032248037665
1,lumbar ganglion left(WBbt:0005098),3.0777601899485556,8.0,2.599292831886853,0.02308288295854526
2,serotonergic neuron(WBbt:0006837),2.351206964780372,6.0,2.551880838172179,0.04854420424434517
3,ganglion(WBbt:0005189),17.982192322912546,29.0,1.6127065865627956,0.005411784120420776
4,PVDR(WBbt:0004088),0.6861891571032844,3.0,4.371972318339101,0.03136800111716251
5,dorsal nerve cord(WBbt:0006750),2.6438464582508905,10.0,3.782367908995659,0.000774710675639442
6,dorsal-rectal ganglion neuron(WBbt:0005801),0.7063711911357341,5.0,7.078431372549019,0.0008435663892799099
7,DA neuron(WBbt:0005278),0.6861891571032844,5.0,7.286620530565168,0.0008104265880627818
8,GABAergic neuron(WBbt:0005190),1.594380688563514,15.0,9.408041697691736,8.29245027794734e-11
9,inner labial neuron(WBbt:0005117),1.241195092995647,4.0,3.2227004622987407,0.045542354331239945
10,ventral ganglion (post)(WBbt:0005264),1.3118322121092203,6.0,4.573755656108598,0.0034445814013028433
11,anterior ganglion(WBbt:0005375),2.674119509299565,11.0,4.1135035146133925,0.00017749705703016692
12,ventral ganglion (ant)(WBbt:0005266),1.0494657696873761,7.0,6.670060331825039,0.00017193901531762187
13,retrovesicular ganglion neuron(WBbt:0005403),0.9889196675900276,6.0,6.067226890756303,0.000783060564859285
14,ventral cord neuron(WBbt:0005300),6.538979026513653,21.0,3.211510530137981,3.153790593661492e-06
15,mechanosensory neuron(WBbt:0008431),3.451127819548872,9.0,2.607843137254902,0.016306102022825734
16,neuron(WBbt:0003679),28.345666798575383,44.0,1.552265477212601,1.8644844816270254e-05
17,lumbar right ganglion neuron(WBbt:0005600),3.0373961218836567,8.0,2.633834929320565,0.021832811128045245
18,motor neuron(WBbt:0005409),4.419865453106451,18.0,4.07252215954875,9.143558791992078e-07
19,PVDL(WBbt:0004090),0.6861891571032844,3.0,4.371972318339101,0.03136800111716251
20,interneuron(WBbt:0005113),5.32805698456668,17.0,3.1906565656565657,4.335623600547824e-05
21,lumbar left ganglion neuron(WBbt:0005097),2.936485951721409,8.0,2.7243447207061515,0.017944487470385666
22,DB neuron(WBbt:0005274),0.5650969529085873,4.0,7.078431372549019,0.0028235964283060844
23,preanal ganglion neuron(WBbt:0005447),1.4732884843688168,5.0,3.393768466290626,0.023884684280501948
24,outer labial neuron(WBbt:0006801),0.9081915314602296,4.0,4.404357298474945,0.01673354030064834
25,phasmid left sensillum(WBbt:0005431),1.200831024930748,4.0,3.3310265282583624,0.04188010374535662
26,ventral nerve cord(WBbt:0005829),4.601503759398496,11.0,2.3905228758169934,0.014549843225129599
27,head neuron(WBbt:0006751),21.897506925207757,33.0,1.507020872865275,0.005527762551954466
28,head motor neuron(WBbt:0008610),1.3723783142065689,7.0,5.100634371395618,0.0008104265880627818
29,nerve ring(WBbt:0006749),6.3674317372378315,17.0,2.669836238774432,0.00041596254598927904
30,nerve ring neuron(WBbt:0006974),4.238227146814404,11.0,2.5954248366013073,0.0076734957035953745
31,VD neuron(WBbt:0005303),0.5348239018599129,11.0,20.567517573066965,6.311368553279707e-12
32,outer labial sensillum(WBbt:0005501),1.0292837356549267,4.0,3.886197616301423,0.02443383778652354
33,phasmid right sensillum(WBbt:0005427),1.200831024930748,4.0,3.3310265282583624,0.04188010374535662
34,cholinergic neuron(WBbt:0006840),3.4309457855164225,14.0,4.080507497116494,2.1646851146502494e-05
35,DD neuron(WBbt:0005270),0.6256430550059359,13.0,20.778621125869705,7.734013909807406e-14
36,anterior ganglion (post)(WBbt:0005371),2.169568658488326,11.0,5.070132238942088,2.705998729123066e-05
37,lumbar ganglion right(WBbt:0005601),3.168579343094579,8.0,2.524790808042962,0.025522439218878437
38,dorsal ganglion(WBbt:0005214),1.2512861100118717,5.0,3.995888678051866,0.014035237810382148
