#Larva_Pan_Neuronal_Enriched_W
#Larva_Pan_Neuronal_Enriched_W
#Larva_Pan_Neuronal_Enriched_W
,Tissue,Expected,Observed,Fold Change,Q value
0,ASHL(WBbt:0003890),14.551246537396123,43.0,2.955073291452503,3.618310613519909e-12
1,sensory neuron(WBbt:0005759),114.43213296398892,256.0,2.237133865892036,1.375961872715359e-44
2,lumbar ganglion left(WBbt:0005098),43.08864265927978,120.0,2.784956605593057,4.089189305935282e-29
3,HSNL(WBbt:0004758),15.257617728531855,39.0,2.5561002178649237,4.448390648643062e-09
4,embryonic cell(WBbt:0007028),133.6454293628809,246.0,1.8406914562865315,3.915482606602363e-27
5,deirid sensillum(WBbt:0006926),9.606648199445983,31.0,3.2269319492502886,1.6295792355317253e-10
6,AFDR(WBbt:0003991),7.6288088642659275,22.0,2.8838053740014526,6.489978788669113e-07
7,serotonergic neuron(WBbt:0006837),32.91689750692521,83.0,2.5215013043844143,4.3883397686774445e-17
8,pharyngeal segment(WBbt:0005789),39.13296398891967,67.0,1.712111559425214,3.0594511565868252e-06
9,oxygene sensory neuron(WBbt:0008432),14.975069252077562,44.0,2.9382167961524233,2.6304243137674997e-12
10,HSNR(WBbt:0004757),15.116343490304711,39.0,2.579989004947773,3.2627332878456047e-09
11,PVT(WBbt:0004070),12.432132963988918,25.0,2.0109180035650627,0.0002524393079444545
12,ASGR(WBbt:0003891),8.476454293628809,29.0,3.4212418300653593,9.714272388035698e-11
13,ganglion(WBbt:0005189),251.75069252077563,454.0,1.8033714046785942,9.362958252614492e-61
14,lateral ganglion right neuron(WBbt:0005100),68.09418282548476,157.0,2.305630135871776,2.0690216640113987e-27
15,ALML(WBbt:0003954),12.85595567867036,41.0,3.1891833656539537,5.206479345057694e-13
16,Cell(WBbt:0004017),606.207756232687,675.0,1.11347964960862,1.5788195740236855e-17
17,ASJR(WBbt:0003885),11.301939058171746,31.0,2.742892156862745,2.1120176813101555e-08
18,AWBL(WBbt:0003829),10.454293628808864,25.0,2.3913619501854795,8.530051128395393e-06
19,PVDR(WBbt:0004088),9.606648199445983,27.0,2.8105536332179932,8.299702288438492e-08
20,muscle cell(WBbt:0003675),194.95844875346262,222.0,1.138704177323103,0.012476773738231473
21,pharyngeal neuron(WBbt:0005439),36.87257617728532,86.0,2.3323566974682595,2.5904760337159326e-15
22,male-specific(WBbt:0005757),27.12465373961219,51.0,1.8802083333333333,2.5907463103960494e-06
23,AVAL(WBbt:0003870),7.204986149584488,25.0,3.469819300269127,1.0747753740090943e-09
24,PHBL(WBbt:0004364),12.290858725761773,38.0,3.091728645481181,1.0476664287895972e-11
25,AWCL(WBbt:0003827),15.398891966759003,33.0,2.1430113329735563,6.711954754431995e-06
26,dorsal nerve cord(WBbt:0006750),37.013850415512465,92.0,2.4855560544828617,2.152491781909761e-18
27,posterior lateral right ganglion(WBbt:0005463),15.398891966759003,49.0,3.1820471307789173,3.6590660927450904e-15
28,dorsal-rectal ganglion neuron(WBbt:0005801),9.889196675900276,30.0,3.0336134453781516,1.9525639617144836e-09
29,ADFL(WBbt:0004003),11.443213296398893,23.0,2.009924957637376,0.00042347895898344184
30,AIYR(WBbt:0003961),10.736842105263158,31.0,2.8872549019607843,4.725652330005156e-09
31,ALMR(WBbt:0003953),12.714681440443213,41.0,3.224618736383442,3.295480939832376e-13
32,DA neuron(WBbt:0005278),9.606648199445983,30.0,3.1228373702422147,8.335768611004898e-10
33,PLML(WBbt:0004104),12.573407202216066,38.0,3.022251597268121,2.1955166423457274e-11
34,AVM(WBbt:0003832),10.171745152354571,32.0,3.145969498910675,1.8790232711390073e-10
35,inner labial neuron(WBbt:0005117),17.37673130193906,51.0,2.9349593495934956,5.686956060513136e-14
36,pharyngeal nervous system(WBbt:0005440),37.013850415512465,87.0,2.3504714863044454,1.0593692893124746e-15
37,ventral ganglion (post)(WBbt:0005264),18.365650969529085,53.0,2.8858220211161387,4.3176630681841037e-14
38,amphid left sensillum(WBbt:0005395),61.73684210526316,119.0,1.927536231884058,6.701412682745334e-14
39,uterine epithelial cell(WBbt:0008435),15.681440443213296,25.0,1.594241300123653,0.010072190488798361
40,amphid neuron(WBbt:0005394),88.4376731301939,170.0,1.9222577209797658,6.889738615767896e-20
41,anterior ganglion(WBbt:0005375),37.43767313019391,90.0,2.403995560488346,6.192199920020589e-17
42,ventral ganglion (ant)(WBbt:0005266),14.692520775623267,48.0,3.2669683257918556,1.9697688311144343e-15
43,AWCR(WBbt:0003826),15.398891966759003,33.0,2.1430113329735563,6.711954754431995e-06
44,lateral nerve cord(WBbt:0006769),11.725761772853186,37.0,3.155445310654382,9.276231251078112e-12
45,VA neuron(WBbt:0005339),7.3462603878116335,27.0,3.6753393665158374,4.523993914083849e-11
46,GABAergic neuron(WBbt:0005190),22.321329639889196,72.0,3.225614296351452,4.1243229772522835e-22
47,PHAL(WBbt:0004366),12.290858725761773,37.0,3.0103673653369394,4.523993914083849e-11
48,ray(WBbt:0006941),10.595567867036012,19.0,1.793202614379085,0.0055720151279105515
49,inner labial sensillum(WBbt:0005116),19.354570637119114,51.0,2.6350364963503647,7.740374248443526e-12
50,ASER(WBbt:0003903),18.506925207756233,48.0,2.593623709025595,4.8417042158732416e-11
51,PQR(WBbt:0004096),7.911357340720222,22.0,2.780812324929972,1.4014318476994223e-06
52,ray neuron(WBbt:0006971),7.6288088642659275,16.0,2.097312999273784,0.0015827187103143508
53,retrovesicular ganglion neuron(WBbt:0005403),13.844875346260388,52.0,3.755902360944378,4.811348167083003e-20
54,ciliated neuron(WBbt:0006816),114.43213296398892,233.0,2.0361413701282984,1.6639661265695734e-32
55,lateral ganglion left(WBbt:0005103),68.51800554016621,157.0,2.2913685061653526,3.915482606602363e-27
56,ventral cord neuron(WBbt:0005300),91.54570637119114,200.0,2.1847010409101912,6.934088266195012e-32
57,AFDL(WBbt:0003993),7.770083102493075,22.0,2.8313725490196076,9.597308577509836e-07
58,chemosensory neuron(WBbt:0005837),54.39058171745152,120.0,2.206264323911383,5.612763713978009e-19
59,tail(WBbt:0005741),236.4930747922438,386.0,1.6321831002412912,1.0133237814026958e-34
60,glutamatergic neuron(WBbt:0006829),16.105263157894736,50.0,3.104575163398693,6.411616799624519e-15
61,mechanosensory neuron(WBbt:0008431),48.315789473684205,129.0,2.669934640522876,3.501659268686361e-29
62,neuron(WBbt:0003679),396.8393351800554,589.0,1.4842278670101006,1.6787973412506222e-58
63,lumbar right ganglion neuron(WBbt:0005600),42.523545706371195,120.0,2.8219659957006056,1.056546471555859e-29
64,motor neuron(WBbt:0005409),61.878116343490305,173.0,2.7958187841346582,6.653937526429843e-43
65,PVDL(WBbt:0004090),9.606648199445983,27.0,2.8105536332179932,8.299702288438492e-08
66,posterior lateral left ganglion(WBbt:0005464),23.875346260387815,75.0,3.1413156978767836,4.1243229772522835e-22
67,interneuron(WBbt:0005113),74.59279778393352,185.0,2.4801322043969103,2.0125555955119017e-37
68,ADLL(WBbt:0003997),14.833795013850414,37.0,2.4943043884220355,2.2960868477986718e-08
69,lumbar left ganglion neuron(WBbt:0005097),41.11080332409973,118.0,2.8702917593154096,5.546977858308671e-30
70,DB neuron(WBbt:0005274),7.911357340720222,26.0,3.2864145658263304,2.3727579267303396e-09
71,AVAR(WBbt:0003869),7.204986149584488,25.0,3.469819300269127,1.0747753740090943e-09
72,ADLR(WBbt:0003995),14.833795013850414,37.0,2.4943043884220355,2.2960868477986718e-08
73,preanal ganglion neuron(WBbt:0005447),20.626038781163434,50.0,2.424120333064733,3.189484155024573e-10
