#pharyngeal_enriched_
#pharyngeal_enriched_
#pharyngeal_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,muscle cell(WBbt:0003675),36.042738425009894,50.0,1.387241985068072,0.03458841719661984
1,digestive tract(WBbt:0005743),80.23426988523941,105.0,1.3086677320075757,2.6726629682416548e-05
2,serotonergic neuron(WBbt:0006837),6.085476850019787,15.0,2.4648849005072178,0.005324905341109649
3,alimentary system(WBbt:0005748),82.14087851206965,105.0,1.2782916606446018,9.489302342654497e-05
4,pharyngeal segment(WBbt:0005789),7.234665611396913,25.0,3.455584728147905,3.165130358998079e-07
5,interfacial epithelial cell(WBbt:0005754),8.436090225563909,24.0,2.844919786096257,1.978400172391935e-05
6,blast cell(WBbt:0006783),7.260783537791848,15.0,2.065892740353172,0.02954921772339243
7,procorpus(WBbt:0003713),1.5409576573011476,12.0,7.787365177195685,1.6152126390497364e-07
8,marginal cell(WBbt:0003673),1.7760189948555598,10.0,5.630570409982175,2.7892473369031974e-05
9,pharyngeal gland cell(WBbt:0005788),3.447566284131381,14.0,4.060835629017447,2.973043654307302e-05
10,syncytium precursor(WBbt:0008073),2.5334388603086664,9.0,3.5524835988753516,0.0033723249346853355
11,arcade cell(WBbt:0005793),1.7760189948555598,6.0,3.378342245989305,0.02603920909056502
12,pharynx(WBbt:0003681),47.61297981796597,85.0,1.7852274805099817,1.3527948756847465e-09
13,non-striated muscle(WBbt:0005780),32.69964384645825,48.0,1.467905896020912,0.014418289760625173
14,pharyngeal cell(WBbt:0005460),19.562326869806093,47.0,2.402577173605211,5.1588737329214355e-08
15,terminal bulb(WBbt:0003732),5.197467352592007,21.0,4.040429419826404,3.165130358998079e-07
16,pharyngeal muscle cell(WBbt:0005451),9.950929956470123,30.0,3.0147936053447864,3.165130358998079e-07
17,body region(WBbt:0005738),111.26236644242185,121.0,1.0875195618153364,0.04666297399297073
18,metacorpus(WBbt:0003711),4.309457855164226,13.0,3.0166207529843896,0.0016480756980216938
