#total_muscle_enriched_W
#total_muscle_enriched_W
#total_muscle_enriched_W
,Tissue,Expected,Observed,Fold Change,Q value
0,mu_int_R(WBbt:0003822),11.417095370003958,21.0,1.8393469897057293,0.025774323818086132
1,muscle cell(WBbt:0003675),133.5219628017412,251.0,1.8798405500726116,2.3797284254867005e-31
2,smooth muscle(WBbt:0005781),40.83062920459042,93.0,2.277701857936208,1.1755645484018227e-14
3,mu_int_L(WBbt:0003833),11.417095370003958,21.0,1.8393469897057293,0.025774323818086132
4,body wall musculature(WBbt:0005813),120.26652156707559,302.0,2.5110895040858665,6.75267276824654e-75
5,vulval muscle(WBbt:0005821),63.1810447170558,158.0,2.5007500383631314,2.3797284254867005e-31
6,head muscle(WBbt:0006761),17.125643055005934,32.0,1.8685429736693127,0.0021566359948496103
7,organism(WBbt:0007833),7.740403640680649,15.0,1.937883435582822,0.04545866005575823
8,anal sphincter muscle(WBbt:0005798),12.481400870597547,49.0,3.9258413785450452,7.517906170058239e-18
9,muscular system(WBbt:0005737),178.90007914523147,346.0,1.9340405082723102,1.711693672792961e-57
10,muscle of the reproductive system(WBbt:0005786),22.834190740007916,40.0,1.7517590378149803,0.0019349247131240312
11,non-striated muscle(WBbt:0005780),121.13731697665216,231.0,1.9069268311805405,5.842450468086231e-29
12,egg-laying apparatus(WBbt:0008587),135.8440838939454,203.0,1.4943602561189473,4.441621226184118e-11
13,uterine muscle(WBbt:0005342),12.771666007123072,36.0,2.8187395426659227,2.114832205648254e-08
14,body muscle cell(WBbt:0007810),91.62702809655718,191.0,2.084537761049315,7.980378410287013e-28
15,male(WBbt:0007850),7.159873367629601,14.0,1.955341844912397,0.04981246863361009
16,hermaphrodite-specific(WBbt:0005758),183.35081123862287,240.0,1.3089661200770513,2.8411321560774544e-07
17,anal depressor muscle(WBbt:0004292),41.701424614166996,119.0,2.853619537006723,1.3859241484226733e-28
18,pharyngeal muscle cell(WBbt:0005451),36.863672338741594,69.0,1.8717614285944317,6.651223981028416e-07
