#24hr_muscle_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,muscle cell WBbt:0003675,97.36363636363636,181.0,1.85901027077,1.4510660034121287e-21,1.8590102707749767
1,anal depressor muscle WBbt:0004292,30.408498023715413,95.0,3.12412668083,2.1838334392275796e-25,3.124126680834747
2,muscle of the reproductive system WBbt:0005786,16.650592885375495,29.0,1.74167972274,0.012167775832465842,1.7416797227365521
3,reproductive system WBbt:0005747,151.9013833992095,182.0,1.19814577015,0.0047112217556045215,1.1981457701519995
4,anal sphincter muscle WBbt:0005798,9.101383399209485,38.0,4.17518945563,2.1978088894115307e-14,4.175189455627213
5,smooth muscle WBbt:0005781,29.773517786561268,66.0,2.21673503525,1.1153533345733557e-09,2.2167350352463258
6,egg-laying apparatus WBbt:0008587,99.05691699604743,143.0,1.44361448283,1.1627229569487942e-06,1.4436144828301691
7,muscular system WBbt:0005737,130.45316205533598,255.0,1.95472456154,9.809643145636538e-43,1.9547245615390556
8,pharyngeal muscle cell WBbt:0005451,26.88083003952569,52.0,1.93446407434,1.0550694584643181e-05,1.9344640743436483
9,vulval muscle WBbt:0005821,46.07134387351779,116.0,2.51783408616,8.047947222349316e-23,2.5178340861612636
10,uterine muscle WBbt:0005342,9.31304347826087,25.0,2.68440709617,1.5687232691773392e-05,2.684407096171802
11,body wall musculature WBbt:0005813,87.69782608695652,232.0,2.64544755955,2.574936489936874e-62,2.6454475595547953
12,intestinal muscle WBbt:0005796,14.0401185770751,37.0,2.63530537843,1.5300475653079518e-07,2.63530537843278
