#BAG-neuron_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,outer labial neuron WBbt:0006801,3.646245059288538,33.0,9.05040650407,9.344543683205852e-24,9.05040650406504
1,nervous system WBbt:0005735,120.7717391304348,163.0,1.34965349653,2.5916787526713693e-10,1.3496534965349651
2,embryonic cell WBbt:0007028,38.32608695652174,78.0,2.03516732842,5.0013586574263645e-11,2.03516732841747
3,anterior ganglion (post) WBbt:0005371,8.710474308300395,40.0,4.59217243335,1.1969500572298435e-16,4.592172433352241
4,glutamatergic neuron WBbt:0006829,4.6185770750988135,25.0,5.41292255028,1.4766992162403406e-12,5.412922550278135
5,inner labial sensillum WBbt:0005116,5.550395256916996,33.0,5.94552252092,2.2838662414008235e-17,5.94552252091864
6,interneuron WBbt:0005113,21.391304347826086,46.0,2.15040650407,3.3266254816253895e-07,2.1504065040650406
7,PHA WBbt:0007807,3.5247035573122534,24.0,6.80908326325,2.0989242753849057e-14,6.809083263246425
8,AFD WBbt:0005662,2.2282608695652173,15.0,6.73170731707,9.941972015585217e-10,6.731707317073171
9,outer labial sensillum WBbt:0005501,4.132411067193676,33.0,7.9856527977,8.238829347978016e-22,7.985652797704448
10,deirid neuron WBbt:0006928,2.3903162055335967,17.0,7.11202976437,3.5587135803715015e-11,7.112029764365441
11,amphid sensillum WBbt:0005391,27.184782608695656,89.0,3.27389044382,9.314064896052871e-27,3.2738904438224705
12,ventral ganglion (post) WBbt:0005264,5.266798418972332,10.0,1.89868667917,0.04895521509534975,1.898686679174484
13,retrovesicular ganglion neuron WBbt:0005403,3.9703557312252964,9.0,2.26679940269,0.019342342559002707,2.2667994026879046
14,ASE WBbt:0005663,5.83399209486166,21.0,3.59959349593,1.919217630136878e-07,3.5995934959349594
15,deirid sensillum WBbt:0006926,2.7549407114624507,17.0,6.17073170732,4.275519841370576e-10,6.170731707317073
16,ADF WBbt:0005660,3.281620553359684,15.0,4.57091237579,3.482672476637954e-07,4.570912375790424
