#Spermatogenic_W
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,muscle cell WBbt:0003675,131.45454545454544,164.0,1.24757952974,0.004771287442947727,1.2475795297372063
1,germ cell WBbt:0006796,21.90909090909091,60.0,2.73858921162,1.4135617248214704e-12,2.7385892116182573
2,muscle of the reproductive system WBbt:0005786,22.480632411067194,41.0,1.82379210915,0.0009857244989848707,1.8237921091497291
3,spermatheca WBbt:0005319,51.057707509881425,74.0,1.44934043476,0.004771287442947727,1.4493404347556822
4,uterus WBbt:0006760,29.62490118577075,54.0,1.82279089005,0.00010573720301970126,1.8227908900481649
5,oocyte WBbt:0006797,13.907509881422925,35.0,2.51662593077,2.4248566957034477e-06,2.516625930767919
6,smooth muscle WBbt:0005781,40.19841897233202,66.0,1.64185561739,0.00032564285780746304,1.641855617391988
7,egg-laying apparatus WBbt:0008587,133.7407114624506,164.0,1.22625338393,0.009509526959156607,1.2262533839297323
8,gonad WBbt:0005175,106.21146245059289,131.0,1.23338853432,0.029727999989888055,1.2333885343207487
9,reproductive system WBbt:0005747,205.08814229249012,244.0,1.18973236225,0.001622799682124037,1.1897323622543474
10,vulval muscle WBbt:0005821,62.20276679841898,81.0,1.30219287934,0.048699543726914714,1.3021928793376245
11,sperm WBbt:0006798,8.763636363636364,53.0,6.04771784232,2.5018008869511046e-30,6.047717842323651
