#dopaminergic-neurons_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,outer labial neuron WBbt:0006801,3.3616600790513838,28.0,8.329218107,5.648584812982169e-19,8.329218106995883
1,nervous system WBbt:0005735,111.34565217391305,158.0,1.41900466624,2.648971067778996e-13,1.4190046662371385
2,cholinergic neuron WBbt:0006840,12.699604743083004,29.0,2.28353563648,2.613168362368419e-05,2.283535636476813
3,embryonic cell WBbt:0007028,35.334782608695654,67.0,1.89614864033,5.3180069039559174e-08,1.8961486403346868
4,anterior ganglion (post) WBbt:0005371,8.030632411067193,37.0,4.60735818875,1.862009420986526e-15,4.607358188753538
5,glutamatergic neuron WBbt:0006829,4.258102766798419,14.0,3.28784925276,6.294091498000617e-05,3.287849252761534
6,inner labial sensillum WBbt:0005116,5.117193675889328,33.0,6.44884717877,1.9309533162211907e-18,6.448847178774186
7,AVA WBbt:0005842,1.9049407114624508,6.0,3.14970432617,0.007393262089988181,3.149704326174914
8,interneuron WBbt:0005113,19.72173913043478,39.0,1.97751322751,2.8228487536098554e-05,1.9775132275132277
9,PHA WBbt:0007807,3.249604743083004,15.0,4.61594599526,4.889231098360428e-07,4.6159459952563395
10,AFD WBbt:0005662,2.0543478260869565,6.0,2.92063492063,0.010476828523053178,2.9206349206349205
11,outer labial sensillum WBbt:0005501,3.8098814229249016,30.0,7.87426081544,2.6380643932762155e-19,7.874260815437285
12,HSN WBbt:0006830,4.03399209486166,8.0,1.98314716833,0.04153701238723052,1.9831471683323534
13,posterior lateral ganglion WBbt:0005465,6.349802371541502,30.0,4.72455648926,4.887393629001263e-13,4.724556489262372
14,VD neuron WBbt:0005303,1.9796442687747036,6.0,3.03084755915,0.008919619797969281,3.030847559149446
15,head motor neuron WBbt:0008610,5.079841897233202,17.0,3.34656084656,1.0740440277496075e-05,3.3465608465608465
16,corpus WBbt:0003733,6.536561264822135,14.0,2.1417989418,0.006027606499660659,2.1417989417989416
17,ventral ganglion (post) WBbt:0005264,4.855731225296442,11.0,2.26536426536,0.008772559272905637,2.2653642653642656
18,retrovesicular ganglion neuron WBbt:0005403,3.660474308300395,8.0,2.18550912428,0.023976593166961307,2.1855091242846347
19,pharyngeal interneuron WBbt:0003668,2.539920948616601,7.0,2.7559912854,0.009345855727073268,2.75599128540305
20,ALM WBbt:0005406,3.39901185770751,7.0,2.05942205942,0.04258837294274848,2.0594220594220594
21,PLM WBbt:0005490,3.3616600790513838,8.0,2.379776602,0.014309155305799345,2.379776601998824
22,deirid neuron WBbt:0006928,2.2037549407114625,21.0,9.52919020716,4.844473269732688e-16,9.529190207156308
23,ASE WBbt:0005663,5.3786561264822135,19.0,3.53248089359,1.4037387840363717e-06,3.532480893592005
24,ASK WBbt:0005668,3.9219367588932808,15.0,3.8246409675,6.249089167560497e-06,3.82464096749811
25,ADF WBbt:0005660,3.0254940711462455,14.0,4.62734339278,1.1069083677820688e-06,4.627343392775491
26,ventral ganglion (ant) WBbt:0005266,3.884584980237154,17.0,4.37627187627,2.1272402063201868e-07,4.376271876271876
