#enriched_in_PVD_OLL_W
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,outer labial neuron WBbt:0006801,17.57312252964427,29.0,1.65024741341,0.003070652113917271,1.650247413405308
1,muscle cell WBbt:0003675,269.45454545454544,362.0,1.34345479082,5.512770313526633e-12,1.343454790823212
2,pharyngeal-intestinal valve WBbt:0005767,31.241106719367586,42.0,1.34438259109,0.023026660304752842,1.3443825910931175
3,cholinergic neuron WBbt:0006840,66.38735177865613,104.0,1.56656346749,1.4574653935099549e-06,1.5665634674922602
4,P3.p WBbt:0006891,12.496442687747036,24.0,1.9205465587,0.000703787468700911,1.9205465587044532
5,embryonic cell WBbt:0007028,184.7130434782609,218.0,1.18020901987,0.003070652113917271,1.1802090198663024
6,midbody WBbt:0005740,139.02292490118577,181.0,1.30194354729,5.6601235519081494e-05,1.3019435472865395
7,anal depressor muscle WBbt:0004292,84.15573122529644,101.0,1.2001559315,0.024608740138189058,1.2001559315028605
8,muscle of the reproductive system WBbt:0005786,46.08063241106719,62.0,1.34546764565,0.007998719776537922,1.345467645646058
9,vulF WBbt:0006768,12.301185770750987,19.0,1.54456654457,0.02339979429401338,1.5445665445665446
10,rectal epithelium WBbt:0005800,40.418181818181814,53.0,1.31129104813,0.020107864343219033,1.3112910481331534
11,apoptotic cell WBbt:0006925,10.739130434782608,18.0,1.67611336032,0.011985904186860548,1.676113360323887
12,epithelial system WBbt:0005730,324.9075098814229,403.0,1.24035298583,2.9096128148610537e-08,1.2403529858299596
13,DD neuron WBbt:0005270,12.105928853754941,21.0,1.73468721431,0.0052615293247398175,1.7346872143136998
14,gonadal primordium WBbt:0008366,10.543873517786562,17.0,1.61231069126,0.020107864343219033,1.6123106912580596
15,rectal epithelial cell WBbt:0008182,11.910671936758893,23.0,1.93104134864,0.0007755799237018952,1.9310413486427291
16,nerve ring neuron WBbt:0006974,82.00790513833992,103.0,1.25597647966,0.007534480930888037,1.2559764796606903
17,interneuron WBbt:0005113,103.09565217391304,148.0,1.43556005398,1.9018030909065926e-06,1.4355600539811066
18,hermaphrodite somatic gonadal cell WBbt:0007815,91.3802371541502,120.0,1.31319422817,0.000803727563917208,1.3131942281739852
19,ventral cord blast cell WBbt:0008115,16.01106719367589,30.0,1.87370395971,0.00028892172747098794,1.873703959711662
20,nervous system WBbt:0005735,582.0608695652174,701.0,1.20434139564,1.683205336882084e-16,1.204341395640677
21,outer labial sensillum WBbt:0005501,19.91620553359684,31.0,1.55652139398,0.0060764753683755345,1.556521393982694
22,sensory neuron WBbt:0005759,158.1581027667984,206.0,1.30249412706,1.5117499237985299e-05,1.3024941270555306
23,HSN WBbt:0006830,21.087747035573123,43.0,2.03909881541,2.066034794565277e-06,2.039098815414605
24,serotonergic neuron WBbt:0006837,45.494861660079046,66.0,1.45071328039,0.0009517416923805349,1.4507132803947804
25,VD neuron WBbt:0005303,10.348616600790514,20.0,1.93262546788,0.0015192279718354985,1.9326254678786952
26,head motor neuron WBbt:0008610,26.55494071146245,37.0,1.39333769945,0.018582208782174908,1.3933376994522506
27,corpus WBbt:0003733,34.169960474308304,47.0,1.37547715442,0.011985904186860548,1.3754771544245228
28,anal sphincter muscle WBbt:0005798,25.188142292490117,35.0,1.38954272981,0.02165049937634539,1.3895427298120078
29,ventral ganglion (post) WBbt:0005264,25.383399209486168,37.0,1.45764559327,0.009433628272744757,1.4576455932731236
30,intestine WBbt:0005772,466.8592885375494,508.0,1.08812229396,0.003680861655498413,1.0881222939599748
