#pharyngeal_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,muscle cell WBbt:0003675,36.0,50.0,1.38888888889,0.031756299489597024,1.3888888888888888
1,corpus WBbt:0003733,4.565217391304348,15.0,3.28571428571,0.000194938318412091,3.285714285714286
2,blast cell WBbt:0006783,7.252173913043478,15.0,2.06834532374,0.028177416480736128,2.068345323741007
3,syncytium precursor WBbt:0008073,2.5304347826086957,9.0,3.55670103093,0.0032867560578709104,3.556701030927835
4,pharyngeal muscle cell WBbt:0005451,9.939130434782609,30.0,3.01837270341,4.2204246797572255e-07,3.0183727034120733
5,alimentary system WBbt:0005748,82.04347826086956,105.0,1.27980922099,9.392052572903144e-05,1.2798092209856917
6,pharyngeal gland cell WBbt:0005788,3.443478260869565,14.0,4.06565656566,3.38093460401937e-05,4.065656565656566
7,serotonergic neuron WBbt:0006837,6.078260869565217,15.0,2.4678111588,0.005011865012277012,2.467811158798283
8,digestive tract WBbt:0005743,80.13913043478261,105.0,1.31022135417,3.357246781079241e-05,1.3102213541666665
9,terminal bulb WBbt:0003732,5.191304347826088,21.0,4.04522613065,4.2204246797572255e-07,4.0452261306532655
10,pharynx WBbt:0003681,47.55652173913043,85.0,1.78734686414,8.562751186945103e-10,1.7873468641433536
11,arcade cell WBbt:0005793,1.7739130434782608,6.0,3.38235294118,0.02562843465631204,3.3823529411764706
12,marginal cell WBbt:0003673,1.7739130434782608,10.0,5.63725490196,3.38093460401937e-05,5.637254901960785
