#total_muscle_enriched_W
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,muscle cell WBbt:0003675,133.36363636363635,251.0,1.88207225631,1.4046419913598085e-31,1.8820722563053853
1,anal depressor muscle WBbt:0004292,41.651976284584975,119.0,2.85700729269,1.013094952788613e-28,2.857007292689755
2,muscle of the reproductive system WBbt:0005786,22.807114624505928,40.0,1.75383868843,0.0013828927342062,1.7538386884336765
3,reproductive system WBbt:0005747,208.06660079051383,252.0,1.21115065581,0.00013696123226195094,1.2111506558119787
4,intestinal muscle WBbt:0005796,19.231422924901185,47.0,2.44391692614,1.493640219555329e-08,2.4439169261440123
5,anal sphincter muscle WBbt:0005798,12.466600790513834,49.0,3.93050205292,6.4915700308046834e-18,3.930502052916092
6,smooth muscle WBbt:0005781,40.78221343873518,93.0,2.28040589655,9.538907395900013e-15,2.280405896548716
7,egg-laying apparatus WBbt:0008587,135.68300395256918,203.0,1.49613432845,3.339409348821307e-11,1.4961343284451667
8,muscular system WBbt:0005737,178.68794466403162,346.0,1.93633655953,8.30778584020577e-58,1.9363365595286681
9,pharyngeal muscle cell WBbt:0005451,36.819960474308296,69.0,1.87398354347,5.104150711118523e-07,1.8739835434681096
10,vulval muscle WBbt:0005821,63.10612648221344,158.0,2.50371887497,1.4046419913598085e-31,2.503718874973772
11,uterine muscle WBbt:0005342,12.756521739130434,36.0,2.82208588957,1.533242766176804e-08,2.8220858895705523
12,body wall musculature WBbt:0005813,120.12391304347825,302.0,2.51407061549,3.372248488567891e-75,2.514070615487631
