#Summary of results from all benchmarks
NoAnnotations,Threshold,Method,EnrichmentSetUsed,TissuesTested,GenesSubmitted,TissuesReturned,GenesUsed,AvgFold,AvgQ
100,0.9,any,WBPaper00013489_Ray_Enriched_WBbt_0006941_25,97,25,7,-5025,7.776851785614175,0.04114897323578364
100,0.9,any,WBPaper00024505_pharyngeal_enriched_WBbt_0003681_329,97,329,11,-4599,2.486191950037132,0.00854830469186385
100,0.9,any,WBPaper00024970_GABAergic_neuron_specific_WBbt_0005190_247,97,247,44,-4679,3.232467888114002,0.0058250375364827635
100,0.9,any,WBPaper00026980_intestine_enriched_WBbt_0005772_1970,97,1970,9,-2458,1.2647605374696391,0.005126863758661864
100,0.9,any,WBPaper00031003_0hr_muscle_enriched_WBbt_0003675_761,97,761,14,-3968,2.517875227605147,0.0022518095608979076
100,0.9,any,WBPaper00031003_24hr_muscle_enriched_WBbt_0003675_918,97,918,14,-3785,2.2354943840650807,0.003907425580170222
100,0.9,any,WBPaper00031003_total_muscle_enriched_WBbt_0003675_1285,97,1285,13,-3286,2.2696325831018083,7.12216444568107e-05
100,0.9,any,WBPaper00031532_Larva_Pan_Neuronal_Enriched_WBbt_0003679_1603,97,1603,51,-2740,2.413984476503745,0.0012582148383817123
100,0.9,any,WBPaper00036375_enriched_in_PVD_OLL_WBbt_0006831_2180,97,2180,64,-1892,1.4168369032637753,0.004001520833577645
100,0.9,any,WBPaper00037950_all-neurons_larva_enriched_WBbt_0003679_1013,97,1013,47,-3670,3.1927606026532445,0.0001545876068162614
100,0.9,any,WBPaper00037950_AVA-neuron_embryo_enriched_WBbt_0005842_534,97,534,7,-4364,2.4193852578571007,0.0073874507222966585
100,0.9,any,WBPaper00037950_BAG-neuron_embryo_enriched_WBbt_0006825_454,97,454,38,-4401,3.7203015113047564,0.003221686474719535
100,0.9,any,WBPaper00037950_coelomocytes_embryo_enriched_WBbt_0005751_570,97,570,7,-4304,1.7763542900347071,0.020779349867561612
100,0.9,any,WBPaper00037950_coelomocytes_larva_enriched_WBbt_0005751_229,97,229,1,-4784,4.838632560363376,0.0027494027427938743
100,0.9,any,WBPaper00037950_dopaminergic-neurons_embryo_enriched_WBbt_0006746_466,97,466,47,-4405,3.177345952527296,0.002616530570809148
100,0.9,any,WBPaper00037950_dopaminergic-neurons_larva_enriched_WBbt_0006746_1230,97,1230,47,-3422,2.029720315798682,0.0016480874494724045
100,0.9,any,WBPaper00037950_excretory-cell_larva_enriched_WBbt_0005812_528,97,528,3,-4358,3.1529495163745334,0.0019416957725896678
100,0.9,any,WBPaper00037950_GABAergic-motor-neurons_embryo_enriched_WBbt_0005190_361,97,361,42,-4539,2.8269562605623073,0.005433597853250467
100,0.9,any,WBPaper00037950_GABAergic-motor-neurons_larva_enriched_WBbt_0005190_132,97,132,27,-4877,3.513483071904728,0.012383404175183165
100,0.9,any,WBPaper00037950_germline-precursors_embryo_enriched_WBbt_0006849_974,97,974,5,-3813,1.8063891139200645,0.009790395783724922
100,0.9,any,WBPaper00037950_hypodermis_embryo_enriched_WBbt_0005733_734,97,734,5,-4134,2.310242307210703,0.00016210891775814154
100,0.9,any,WBPaper00037950_hypodermis_larva_enriched_WBbt_0005733_1250,97,1250,9,-3498,1.8686725142661846,0.018239047859045697
100,0.9,any,WBPaper00037950_intestine_embryo_enriched_WBbt_0005772_886,97,886,5,-3888,1.9670196623092298,0.00452990169305078
100,0.9,any,WBPaper00037950_intestine_larva_enriched_WBbt_0005772_946,97,946,4,-3917,1.9875494759056702,1.771562503064539e-05
100,0.9,any,WBPaper00037950_pharyngeal-muscle_embryo_enriched_WBbt_0005451_598,97,598,0,-4279,nan,nan
100,0.9,any,WBPaper00037950_PVD-OLL-neurons_larva_enriched_WBbt_0006831_878,97,878,0,-3901,nan,nan
100,0.9,any,WBPaper00040420_ALM_PLM_enriched_WBbt_0005406_198,97,198,9,-4778,3.9135725840072024,0.0016307788989863529
100,0.9,any,WBPaper00040420_FLP_enriched_WBbt_0006828_288,97,288,18,-4667,3.354008172342068,0.006243891702295253
100,0.9,any,WBPaper00044760_germline_specific_WBbt_0005784_2510,97,2510,3,-1998,2.1999487428268467,5.0085058938421754e-08
100,0.9,any,WBPaper00045521_Spermatogenic_WBbt_0005784_2743,97,2743,12,-1835,1.6551887803866,0.009711958796935516
100,0.9,avg,WBPaper00013489_Ray_Enriched_WBbt_0006941_25,97,25,7,-5025,7.776851785614175,0.04114897323578364
100,0.9,avg,WBPaper00024505_pharyngeal_enriched_WBbt_0003681_329,97,329,11,-4599,2.486191950037132,0.00854830469186385
100,0.9,avg,WBPaper00024970_GABAergic_neuron_specific_WBbt_0005190_247,97,247,44,-4679,3.232467888114002,0.0058250375364827635
100,0.9,avg,WBPaper00026980_intestine_enriched_WBbt_0005772_1970,97,1970,9,-2458,1.2647605374696391,0.005126863758661864
100,0.9,avg,WBPaper00031003_0hr_muscle_enriched_WBbt_0003675_761,97,761,14,-3968,2.517875227605147,0.0022518095608979076
100,0.9,avg,WBPaper00031003_24hr_muscle_enriched_WBbt_0003675_918,97,918,14,-3785,2.2354943840650807,0.003907425580170222
100,0.9,avg,WBPaper00031003_total_muscle_enriched_WBbt_0003675_1285,97,1285,13,-3286,2.2696325831018083,7.12216444568107e-05
100,0.9,avg,WBPaper00031532_Larva_Pan_Neuronal_Enriched_WBbt_0003679_1603,97,1603,51,-2740,2.413984476503745,0.0012582148383817123
100,0.9,avg,WBPaper00036375_enriched_in_PVD_OLL_WBbt_0006831_2180,97,2180,64,-1892,1.4168369032637753,0.004001520833577645
100,0.9,avg,WBPaper00037950_all-neurons_larva_enriched_WBbt_0003679_1013,97,1013,47,-3670,3.1927606026532445,0.0001545876068162614
100,0.9,avg,WBPaper00037950_AVA-neuron_embryo_enriched_WBbt_0005842_534,97,534,7,-4364,2.4193852578571007,0.0073874507222966585
100,0.9,avg,WBPaper00037950_BAG-neuron_embryo_enriched_WBbt_0006825_454,97,454,38,-4401,3.7203015113047564,0.003221686474719535
100,0.9,avg,WBPaper00037950_coelomocytes_embryo_enriched_WBbt_0005751_570,97,570,7,-4304,1.7763542900347071,0.020779349867561612
100,0.9,avg,WBPaper00037950_coelomocytes_larva_enriched_WBbt_0005751_229,97,229,1,-4784,4.838632560363376,0.0027494027427938743
100,0.9,avg,WBPaper00037950_dopaminergic-neurons_embryo_enriched_WBbt_0006746_466,97,466,47,-4405,3.177345952527296,0.002616530570809148
100,0.9,avg,WBPaper00037950_dopaminergic-neurons_larva_enriched_WBbt_0006746_1230,97,1230,47,-3422,2.029720315798682,0.0016480874494724045
100,0.9,avg,WBPaper00037950_excretory-cell_larva_enriched_WBbt_0005812_528,97,528,3,-4358,3.1529495163745334,0.0019416957725896678
100,0.9,avg,WBPaper00037950_GABAergic-motor-neurons_embryo_enriched_WBbt_0005190_361,97,361,42,-4539,2.8269562605623073,0.005433597853250467
100,0.9,avg,WBPaper00037950_GABAergic-motor-neurons_larva_enriched_WBbt_0005190_132,97,132,27,-4877,3.513483071904728,0.012383404175183165
100,0.9,avg,WBPaper00037950_germline-precursors_embryo_enriched_WBbt_0006849_974,97,974,5,-3813,1.8063891139200645,0.009790395783724922
100,0.9,avg,WBPaper00037950_hypodermis_embryo_enriched_WBbt_0005733_734,97,734,5,-4134,2.310242307210703,0.00016210891775814154
100,0.9,avg,WBPaper00037950_hypodermis_larva_enriched_WBbt_0005733_1250,97,1250,9,-3498,1.8686725142661846,0.018239047859045697
100,0.9,avg,WBPaper00037950_intestine_embryo_enriched_WBbt_0005772_886,97,886,5,-3888,1.9670196623092298,0.00452990169305078
100,0.9,avg,WBPaper00037950_intestine_larva_enriched_WBbt_0005772_946,97,946,4,-3917,1.9875494759056702,1.771562503064539e-05
100,0.9,avg,WBPaper00037950_pharyngeal-muscle_embryo_enriched_WBbt_0005451_598,97,598,0,-4279,nan,nan
100,0.9,avg,WBPaper00037950_PVD-OLL-neurons_larva_enriched_WBbt_0006831_878,97,878,0,-3901,nan,nan
100,0.9,avg,WBPaper00040420_ALM_PLM_enriched_WBbt_0005406_198,97,198,9,-4778,3.9135725840072024,0.0016307788989863529
100,0.9,avg,WBPaper00040420_FLP_enriched_WBbt_0006828_288,97,288,18,-4667,3.354008172342068,0.006243891702295253
100,0.9,avg,WBPaper00044760_germline_specific_WBbt_0005784_2510,97,2510,3,-1998,2.1999487428268467,5.0085058938421754e-08
100,0.9,avg,WBPaper00045521_Spermatogenic_WBbt_0005784_2743,97,2743,12,-1835,1.6551887803866,0.009711958796935516
100,0.96,any,WBPaper00013489_Ray_Enriched_WBbt_0006941_25,123,25,1,-5025,8.929411764705883,0.026674236299388907
