,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
718,719,C06G3.5b,0.0013869602518048198,0.040752099726783994,-7.6774093602018,2.4011781199215094,3.6224267427491004,7.7078820078997,2.9039409112922203,1.42030136140011,0.131657673665777,1.42030136140011,WBGene00015551,C06G3.5
774,775,T23F11.1.2,0.00169974580716956,0.0463712588399819,-6.37158988780554,2.03031672574917,1.5593935950895899,5.686525700979611,2.0411227935652,1.05051671157743,0.676167509845693,1.05051671157743,WBGene00011953,ppm-2
532,533,T24B8.1b.3,0.000536332262487679,0.0212669336497305,-5.03523323077422,1.45446171451926,3.12504395617993,3.7981626272190296,1.21611390012927,0.370480259122451,0.19216526547945603,0.370480259122451,WBGene00004446,rpl-32
692,693,C11E4.7a,0.00126124736393244,0.0384798744814194,-4.2576709061541305,1.3203494431711298,2.5398299753409197,3.24814120020373,0.427810660673965,0.879681328387775,0.30552518285757796,0.879681328387775,WBGene00007521,C11E4.7
487,488,F54F3.3,0.00043494112844291,0.0188574730966105,-3.8628374457944603,1.09804540217348,5.507626955174151,1.7313049231026203,0.00766156918365267,0.896616209742095,0.0378428450782481,0.896616209742095,WBGene00010062,lipl-1
1237,1238,ZC376.2a,0.00527981737915471,0.0901705806522359,-3.76705512739034,1.3504667517961397,3.9989311643814505,4.02514539442976,1.0505794399492001,0.317240895830901,0.101094418117873,0.317240895830901,WBGene00013874,ZC376.2
1094,1095,K07H8.7,0.00390787661653306,0.0752395749281414,-3.4840136739725,1.20741951330342,1.51623741868789,1.79244592031705,0.16599663342287302,0.9273997774065341,0.700274668368869,0.9273997774065341,WBGene00019507,K07H8.7
547,548,F08A8.3,0.00057631964909094,0.0221951299466844,-3.02342239204737,0.878258291362961,3.00777208249812,3.42601647628267,0.17830504723843302,0.40019817252240797,0.21071934018453303,0.40019817252240797,WBGene00008566,F08A8.3
380,381,K11D2.2.2,0.000178359381905351,0.00989777535859539,-2.57155600337611,0.686142305126453,6.78996781378176,1.44081004229314,0.00298355317182951,0.350109893991353,0.0150246854412839,0.350109893991353,WBGene00010769,asah-1
746,747,Y19D10B.4,0.00152526074122866,0.0431708003370785,-2.5439001554094802,0.802534200487505,2.4435972988216696,1.49976767416979,0.153002265607278,0.30249276925128804,0.330043591606811,0.330043591606811,WBGene00021233,Y19D10B.4
