Alldata         	  RPM	  Dur(F)	  Dur(B)	  Dur(FB)	  Dur(S)	  Dist(F)	  Dist(B)	  Dist(FB)	  Spd(F)	  Spd(B)	  Spd(FB)	Revs
worm10_N2_18h_10	  2.40	 10.96  	  0.52  	  6.22   	   NaN  	  2.45   	  0.14   	  1.40    	  0.22  	 -0.24  	  0.22   	 12
worm12_N2_18h_12	  5.20	  7.54  	  0.50  	  4.19   	  0.17  	  1.72   	  0.14   	  0.97    	  0.23  	 -0.27  	  0.23   	 26
worm14_N2_18h_14	  1.20	 38.82  	  0.22  	 19.52   	   NaN  	  4.55   	  0.03   	  2.29    	  0.12  	 -0.13  	  0.12   	  6
worm18_N2_18h_18	  5.20	  5.86  	  1.30  	  3.72   	  0.22  	  1.32   	  0.39   	  0.88    	  0.22  	 -0.30  	  0.23   	 26
worm20_N2_18h_20	  3.40	  9.29  	  0.48  	  4.88   	   NaN  	  2.06   	  0.17   	  1.11    	  0.22  	 -0.33  	  0.22   	 17
worm22_N2_18h_22	  2.00	 17.64  	  1.27  	  8.87   	   NaN  	  4.35   	  0.41   	  2.24    	  0.25  	 -0.31  	  0.25   	 10
worm24_N2_18h_24	  3.40	  8.28  	  1.87  	  5.67   	  0.22  	  1.26   	  0.34   	  0.88    	  0.15  	 -0.17  	  0.15   	 17
worm26_N2_18h_26	  2.20	 10.35  	  1.14  	  7.36   	  0.17  	  1.15   	  0.16   	  0.83    	  0.10  	 -0.13  	  0.11   	 11
worm28_N2_18h_28	  0.80	  1.62  	  0.43  	  1.58   	  0.17  	  0.07   	  0.07   	  0.07    	  0.04  	 -0.03  	  0.04   	  4
worm2_N2_18h_2  	  4.80	  7.52  	  1.74  	  4.89   	  0.17  	  1.44   	  0.41   	  0.97    	  0.19  	 -0.23  	  0.20   	 24
worm4_N2_18h_4  	  3.20	  7.79  	  1.86  	  5.04   	   NaN  	  1.70   	  0.58   	  1.18    	  0.23  	 -0.32  	  0.24   	 16
worm8_N2_18h_8  	  4.40	  7.48  	  1.06  	  4.62   	  0.17  	  1.41   	  0.28   	  0.91    	  0.19  	 -0.26  	  0.19   	 22
