P0_Number,Day1,Day2,Day3
1,0,0,0
2,1,0,0
3,0,0,0
4,0,5,0
5,16,42,150
6,31,0,0
7,8,3,56
8,5,19,58
9,8,0,0
10,4,0,0
11,0,0,0
12,22,0,0
13,19,14,28
14,0,31,0
15,20,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,38,42,55
21,19,0,0
22,0,0,0
23,0,0,0
24,2,0,0
25,1,0,0
26,7,0,0
27,2,0,0
28,17,44,0
29,17,1,0
30,38,0,0
31,10,0,0
32,0,0,0
33,30,0,0
34,28,6,0
35,27,27,70
36,54,44,100
37,49,58,0
38,0,17,0
39,16,0,0
40,5,0,0
41,0,0,0
42,45,48,50
43,0,0,0
44,0,0,0
45,0,2,0
46,19,0,0
47,8,22,28
48,14,0,0
49,37,0,0
50,22,12,0
51,40,54,100
52,28,29,89
53,0,0,0
54,34,57,48
55,2,0,0
56,6,0,0
57,0,0,0
58,26,34,75
59,18,39,129
60,0,0,0
61,24,0,0
62,0,0,0
63,0,49,0
64,29,0,0
65,7,3,0
66,14,0,0
67,6,1,0
68,0,0,0
69,1,0,0
70,2,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,22,50
75,0,0,0
76,0,0,0
77,0,0,0
78,5,34,0
79,30,0,0
80,31,1,0
81,2,27,54
82,7,4,0
83,3,0,0
84,0,0,0
