P0_Number,Day1,Day2,Day3,Day4,Day5,Day6
1,1,1,0,,,
2,1,0,0,,,
3,1,1,1,,,
4,1,1,0,,,
5,1,1,1,,,
6,1,0,0,,,
7,1,1,1,,,
8,1,1,1,,,
9,1,0,0,,,
10,1,0,0,,,
11,1,0,0,,,
12,1,0,0,,,
13,1,1,1,,,
14,1,1,0,,,
15,1,0,0,,,
16,1,1,1,,,
17,1,1,-1,,,
18,1,1,1,,,
19,1,1,-1,,,
20,1,1,1,,,
21,1,0,0,,,
22,1,0,0,,,
23,1,1,1,,,
24,1,1,1,,,
25,1,0,0,,,
26,1,0,0,,,
27,1,0,0,,,
28,1,0,0,,,
29,1,1,1,,,
30,1,0,0,,,
31,1,0,0,,,
32,1,0,0,,,
33,1,0,0,,,
34,1,1,1,,,
35,1,1,1,,,
36,1,1,1,,,
37,1,1,0,,,
38,1,1,0,,,
39,1,1,1,,,
40,1,0,0,,,
41,1,1,1,,,
42,1,1,1,,,
43,1,0,0,,,
44,1,1,0,,,
45,1,1,-1,,,
46,1,1,1,,,
47,1,1,1,,,
48,1,0,0,,,
49,1,0,0,,,
50,1,1,0,,,
51,1,1,1,,,
52,1,1,1,,,
53,1,1,1,,,
54,1,1,1,,,
55,1,0,0,,,
56,1,1,1,,,
57,1,1,1,,,
58,1,1,1,,,
59,1,1,1,,,
60,1,1,1,,,
61,1,1,1,,,
62,1,0,0,,,
63,1,1,0,,,
64,1,0,0,,,
65,1,1,1,,,
66,1,1,1,,,
67,1,1,1,,,
68,1,0,0,,,
69,1,0,0,,,
70,1,0,0,,,
71,1,0,0,,,
72,1,0,0,,,
73,1,1,0,,,
74,1,1,1,,,
75,1,0,0,,,
76,1,0,0,,,
77,1,1,1,,,
78,1,1,0,,,
79,1,1,1,,,
80,1,1,1,,,
81,1,1,1,,,
82,1,1,1,,,
83,1,1,-1,,,
84,1,0,0,,,
