Ensembl Gene ID,Ensembl Transcript ID,Fruitfly Ensembl Gene ID
ENSGALG00000000041,ENSGALT00000000055,
ENSGALG00000000054,ENSGALT00000038658,FBgn0022774
ENSGALG00000000054,ENSGALT00000038659,FBgn0022774
ENSGALG00000000062,ENSGALT00000000077,
ENSGALG00000000075,ENSGALT00000000103,FBgn0263289
ENSGALG00000000085,ENSGALT00000000115,FBgn0039580
ENSGALG00000000085,ENSGALT00000000115,FBgn0027341
ENSGALG00000000091,ENSGALT00000000128,FBgn0026679
ENSGALG00000000183,ENSGALT00000006746,FBgn0039773
ENSGALG00000000189,ENSGALT00000000247,FBgn0004581
ENSGALG00000000215,ENSGALT00000000283,FBgn0036534
ENSGALG00000000218,ENSGALT00000000294,FBgn0015298
ENSGALG00000000231,ENSGALT00000000310,
ENSGALG00000000235,ENSGALT00000031499,FBgn0004889
ENSGALG00000000241,ENSGALT00000000320,
ENSGALG00000000253,ENSGALT00000000332,FBgn0030717
ENSGALG00000000253,ENSGALT00000000332,FBgn0032664
ENSGALG00000000275,ENSGALT00000000362,FBgn0037244
ENSGALG00000000280,ENSGALT00000000369,
ENSGALG00000000296,ENSGALT00000000388,FBgn0003048
ENSGALG00000000329,ENSGALT00000000439,FBgn0015011
ENSGALG00000000329,ENSGALT00000000439,FBgn0035371
ENSGALG00000000332,ENSGALT00000040636,FBgn0030720
ENSGALG00000000346,ENSGALT00000040211,
ENSGALG00000000377,ENSGALT00000000510,FBgn0267790
ENSGALG00000000379,ENSGALT00000000519,FBgn0004657
ENSGALG00000000388,ENSGALT00000000529,FBgn0035626
ENSGALG00000000390,ENSGALT00000000531,
ENSGALG00000000404,ENSGALT00000000550,FBgn0013746
ENSGALG00000000408,ENSGALT00000000556,FBgn0261068
ENSGALG00000000409,ENSGALT00000000557,FBgn0027565
ENSGALG00000000452,ENSGALT00000040952,
ENSGALG00000000461,ENSGALT00000000627,
ENSGALG00000000510,ENSGALT00000000697,FBgn0266848
ENSGALG00000000546,ENSGALT00000000759,
ENSGALG00000000550,ENSGALT00000000766,FBgn0046692
ENSGALG00000000569,ENSGALT00000000793,FBgn0010415
ENSGALG00000000577,ENSGALT00000000806,FBgn0039110
ENSGALG00000000597,ENSGALT00000000834,FBgn0003165
ENSGALG00000000597,ENSGALT00000035201,FBgn0003165
ENSGALG00000000620,ENSGALT00000000878,FBgn0037913
ENSGALG00000000623,ENSGALT00000000884,FBgn0015278
ENSGALG00000000638,ENSGALT00000000910,FBgn0263605
ENSGALG00000000668,ENSGALT00000000943,FBgn0036973
ENSGALG00000000675,ENSGALT00000000957,FBgn0266452
ENSGALG00000000687,ENSGALT00000000970,
ENSGALG00000000750,ENSGALT00000001093,
ENSGALG00000000766,ENSGALT00000001111,FBgn0035520
ENSGALG00000000780,ENSGALT00000001131,
ENSGALG00000000784,ENSGALT00000001137,FBgn0034789
ENSGALG00000000784,ENSGALT00000001137,FBgn0016984
ENSGALG00000000794,ENSGALT00000041281,FBgn0027087
ENSGALG00000000794,ENSGALT00000001152,FBgn0027087
ENSGALG00000000811,ENSGALT00000001181,FBgn0035715
ENSGALG00000000864,ENSGALT00000001266,
ENSGALG00000000864,ENSGALT00000042698,
ENSGALG00000000875,ENSGALT00000001289,FBgn0032749
ENSGALG00000000908,ENSGALT00000001336,FBgn0028658
ENSGALG00000000939,ENSGALT00000024450,
ENSGALG00000000975,ENSGALT00000001441,
ENSGALG00000001024,ENSGALT00000044438,
ENSGALG00000001024,ENSGALT00000001513,
ENSGALG00000001036,ENSGALT00000001534,FBgn0028426
ENSGALG00000001048,ENSGALT00000001570,
ENSGALG00000001073,ENSGALT00000001607,FBgn0264562
ENSGALG00000001104,ENSGALT00000001658,FBgn0035714
ENSGALG00000001126,ENSGALT00000001695,FBgn0030054
ENSGALG00000001138,ENSGALT00000001710,
ENSGALG00000001143,ENSGALT00000001717,
ENSGALG00000001143,ENSGALT00000001719,
ENSGALG00000001162,ENSGALT00000001752,FBgn0002031
ENSGALG00000001190,ENSGALT00000001805,FBgn0035838
ENSGALG00000001220,ENSGALT00000001852,FBgn0031950
ENSGALG00000001225,ENSGALT00000001858,FBgn0035879
ENSGALG00000001341,ENSGALT00000002047,FBgn0262975
ENSGALG00000001350,ENSGALT00000002065,
ENSGALG00000001359,ENSGALT00000035171,FBgn0053156
ENSGALG00000001359,ENSGALT00000035171,FBgn0033853
ENSGALG00000001363,ENSGALT00000002080,
ENSGALG00000001376,ENSGALT00000002097,
ENSGALG00000001381,ENSGALT00000039969,FBgn0000042
ENSGALG00000001381,ENSGALT00000039969,FBgn0000046
ENSGALG00000001381,ENSGALT00000039969,FBgn0000045
ENSGALG00000001381,ENSGALT00000039969,FBgn0000047
ENSGALG00000001381,ENSGALT00000039969,FBgn0000043
ENSGALG00000001381,ENSGALT00000039969,FBgn0000044
ENSGALG00000001399,ENSGALT00000002126,FBgn0037653
ENSGALG00000001407,ENSGALT00000002140,FBgn0038341
ENSGALG00000001446,ENSGALT00000002199,FBgn0010225
ENSGALG00000001463,ENSGALT00000002218,
ENSGALG00000001475,ENSGALT00000002237,FBgn0266521
ENSGALG00000001489,ENSGALT00000002258,FBgn0031054
ENSGALG00000001501,ENSGALT00000002280,FBgn0003256
