Ensembl Gene ID,Ensembl Transcript ID,Fruitfly Ensembl Gene ID
ENSDARG00000006316,ENSDART00000003001,FBgn0026372
ENSDARG00000027234,ENSDART00000038923,FBgn0016919
ENSDARG00000103032,ENSDART00000160206,FBgn0025806
ENSDARG00000042641,ENSDART00000062551,
ENSDARG00000003027,ENSDART00000132351,
ENSDARG00000025421,ENSDART00000028955,FBgn0036450
ENSDARG00000002945,ENSDART00000049836,
ENSDARG00000021022,ENSDART00000012919,FBgn0031550
ENSDARG00000103690,ENSDART00000166762,FBgn0039702
ENSDARG00000004173,ENSDART00000048277,FBgn0025725
ENSDARG00000016086,ENSDART00000004923,FBgn0029006
ENSDARG00000101900,ENSDART00000163071,FBgn0031868
ENSDARG00000075380,ENSDART00000111528,FBgn0036254
ENSDARG00000078214,ENSDART00000167793,
ENSDARG00000098813,ENSDART00000169993,FBgn0086377
ENSDARG00000038010,ENSDART00000055407,FBgn0010333
ENSDARG00000038010,ENSDART00000055407,FBgn0014011
ENSDARG00000057911,ENSDART00000080664,
ENSDARG00000044562,ENSDART00000036456,FBgn0000409
ENSDARG00000039578,ENSDART00000057823,FBgn0035630
ENSDARG00000036995,ENSDART00000053773,FBgn0034564
ENSDARG00000037539,ENSDART00000054664,
ENSDARG00000104540,ENSDART00000164249,
ENSDARG00000090369,ENSDART00000149532,FBgn0001961
ENSDARG00000104682,ENSDART00000170872,FBgn0003721
ENSDARG00000104682,ENSDART00000170872,FBgn0004117
ENSDARG00000069910,ENSDART00000102118,FBgn0010421
ENSDARG00000028027,ENSDART00000038133,FBgn0051721
ENSDARG00000015978,ENSDART00000020000,FBgn0031830
ENSDARG00000087573,ENSDART00000173374,FBgn0051119
ENSDARG00000087573,ENSDART00000172771,FBgn0051119
ENSDARG00000000796,ENSDART00000000876,FBgn0014859
ENSDARG00000041729,ENSDART00000125691,FBgn0037130
ENSDARG00000042336,ENSDART00000017619,
ENSDARG00000054122,ENSDART00000076265,FBgn0030752
ENSDARG00000004115,ENSDART00000001159,FBgn0036446
ENSDARG00000018980,ENSDART00000017307,FBgn0039882
ENSDARG00000035810,ENSDART00000138953,
ENSDARG00000057714,ENSDART00000166058,
ENSDARG00000008170,ENSDART00000025691,FBgn0036372
ENSDARG00000042660,ENSDART00000128149,FBgn0031603
ENSDARG00000018658,ENSDART00000014152,FBgn0038590
ENSDARG00000101081,ENSDART00000161729,
ENSDARG00000045421,ENSDART00000066789,FBgn0035028
ENSDARG00000008480,ENSDART00000003517,FBgn0039407
ENSDARG00000037655,ENSDART00000054849,FBgn0024238
ENSDARG00000007024,ENSDART00000146940,FBgn0003961
ENSDARG00000025033,ENSDART00000037749,FBgn0011708
ENSDARG00000068883,ENSDART00000099776,FBgn0039465
ENSDARG00000029596,ENSDART00000047055,FBgn0051721
ENSDARG00000023214,ENSDART00000128250,FBgn0259481
ENSDARG00000023443,ENSDART00000170624,FBgn0262614
ENSDARG00000057630,ENSDART00000080339,FBgn0043783
ENSDARG00000057630,ENSDART00000080339,FBgn0035679
ENSDARG00000057630,ENSDART00000080339,FBgn0030525
ENSDARG00000057630,ENSDART00000080339,FBgn0052445
ENSDARG00000057630,ENSDART00000080339,FBgn0032372
ENSDARG00000071005,ENSDART00000128073,FBgn0036428
ENSDARG00000031776,ENSDART00000044238,FBgn0015222
ENSDARG00000031776,ENSDART00000044238,FBgn0030449
ENSDARG00000000212,ENSDART00000105808,
ENSDARG00000021154,ENSDART00000134292,
ENSDARG00000014356,ENSDART00000041533,
ENSDARG00000010555,ENSDART00000018420,FBgn0029722
ENSDARG00000010555,ENSDART00000018420,FBgn0028325
ENSDARG00000090183,ENSDART00000112854,FBgn0030286
ENSDARG00000015015,ENSDART00000141835,
ENSDARG00000018328,ENSDART00000016696,FBgn0014020
ENSDARG00000044125,ENSDART00000064789,FBgn0036442
ENSDARG00000044125,ENSDART00000064789,FBgn0011761
ENSDARG00000030614,ENSDART00000066896,FBgn0004242
ENSDARG00000058297,ENSDART00000081156,FBgn0259198
ENSDARG00000058297,ENSDART00000081156,FBgn0036204
ENSDARG00000058297,ENSDART00000081156,FBgn0083968
ENSDARG00000023309,ENSDART00000033491,
ENSDARG00000020133,ENSDART00000014166,
ENSDARG00000028131,ENSDART00000034865,FBgn0038925
ENSDARG00000054213,ENSDART00000159067,FBgn0032208
ENSDARG00000016238,ENSDART00000008761,FBgn0032704
ENSDARG00000038941,ENSDART00000056846,
ENSDARG00000039882,ENSDART00000058339,FBgn0003008
ENSDARG00000037855,ENSDART00000055152,FBgn0011291
ENSDARG00000103472,ENSDART00000170672,FBgn0032725
ENSDARG00000056510,ENSDART00000030282,
ENSDARG00000046106,ENSDART00000067776,FBgn0015789
ENSDARG00000040513,ENSDART00000131275,
ENSDARG00000006811,ENSDART00000010068,FBgn0037665
ENSDARG00000040161,ENSDART00000058742,
ENSDARG00000029045,ENSDART00000049503,FBgn0025574
ENSDARG00000022183,ENSDART00000038524,FBgn0086348
ENSDARG00000022183,ENSDART00000038524,FBgn0035904
ENSDARG00000022183,ENSDART00000038524,FBgn0035906
ENSDARG00000022183,ENSDART00000038524,FBgn0035907
ENSDARG00000020031,ENSDART00000010615,
ENSDARG00000029443,ENSDART00000045109,
ENSDARG00000013295,ENSDART00000016197,FBgn0028561
ENSDARG00000013295,ENSDART00000016197,FBgn0028562
ENSDARG00000013295,ENSDART00000016197,FBgn0028563
ENSDARG00000013295,ENSDART00000016197,FBgn0033047
ENSDARG00000014587,ENSDART00000025024,
ENSDARG00000099079,ENSDART00000164663,FBgn0020236
ENSDARG00000042962,ENSDART00000063071,
ENSDARG00000059365,ENSDART00000139320,FBgn0032451
