,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
525,526,C44B7.10.1,0.000129300881593857,0.00519119488777881,-6.29078581718768,1.6434526734108201,2.9706984636863702,10.4795190582833,1.16989113824933,2.88151389636241,0.216965541492813,2.88151389636241,WBGene00016630,C44B7.10
1817,1818,C06G3.5b,0.00736151758077947,0.0856130727230034,-4.55039732871941,1.6978893314332602,3.6224267427491004,7.7078820078997,2.9039409112922203,1.42030136140011,0.131657673665777,1.42030136140011,WBGene00015551,C06G3.5
853,854,T24B8.1b.3,0.000711871145987606,0.0176242290862014,-3.48130108596444,1.02845974131278,3.12504395617993,3.7981626272190296,1.21611390012927,0.370480259122448,0.19216526547945603,0.370480259122448,WBGene00004446,rpl-32
17,18,M60.2.1,1.5964706033117e-16,1.8752321092121802e-13,-2.969006651627,0.359920661705046,6.19077064801111,1.7618442302503299,0.016660479570447,0.17765384451285002,0.0228486584435224,0.17765384451285002,WBGene00019779,M60.2
194,195,F08A8.3,1.8215806852486099e-06,0.000197506053478007,-2.96368860247922,0.621022393456061,3.00777208249812,3.42601647628267,0.17830504723843302,0.40019817252240797,0.21071934018453303,0.40019817252240797,WBGene00008566,F08A8.3
23,24,F15E11.13,1.12058130956833e-14,9.87185442841801e-12,-2.83739517974783,0.367311426029536,6.32688593742514,4.32439023122785,0.0931259074041149,0.10925061813366199,0.0206960249458447,0.10925061813366199,WBGene00017499,pud-1.1
402,403,B0213.16,4.42953990007242e-05,0.00230235225452401,-2.7790417712741,0.6804953531531089,1.9929100301057898,1.46786229404924,0.219310615906732,0.283474744868494,0.47530027258773105,0.47530027258773105,WBGene00015045,cyp-34A10
16,17,H29C22.1,1.4677985344919e-16,1.8255096714566e-13,-2.72497836416811,0.32993663790000105,5.37379791340644,1.53503296433343,0.00637983156160181,0.15690744598153303,0.0414113089981193,0.15690744598153303,WBGene00045261,H29C22.1
2,3,C29F7.2,3.61259235603402e-27,2.54603467278758e-23,-2.7051765705294,0.25058236334837997,5.79352109014364,1.31509283124321,0.004228775859623671,0.0899585053722659,0.0307876198920917,0.0899585053722659,WBGene00007811,C29F7.2
43,44,F15E11.14,4.5297937347969596e-11,2.1766688394275502e-08,-2.58530981365331,0.392568704269425,6.6015015350795805,5.12393516825005,0.0025899372078286103,0.228575344149834,0.0171343696592811,0.228575344149834,WBGene00017500,pud-2.2
26,27,Y19D10B.7,8.052011284044981e-14,6.30532128068752e-11,-2.5487243088420497,0.341219019440976,6.652858840327129,4.39144797447087,0.0410777325399213,0.13356789630247098,0.016533479299359,0.13356789630247098,WBGene00021236,pud-1.2
1633,1634,K07H8.7,0.0053675438385952295,0.0694528637572943,-2.3769990424038596,0.8537745255938121,1.51623741868789,1.79244592031705,0.16599663342287302,0.9273997774065341,0.700274668368869,0.9273997774065341,WBGene00019507,K07H8.7
18,19,K05B2.3,2.30796152442107e-16,2.56827529004393e-13,-2.35912137900813,0.287526156684217,6.5241055118282105,0.9675084793303791,0.00212317549436542,0.12188376067203001,0.0180718839481077,0.12188376067203001,WBGene00002052,ifa-4
180,181,Y47D3B.12,1.2411570183929898e-06,0.000144982225634713,-2.0650649554934697,0.42587864945965104,3.03033765245058,0.6929663638109159,0.0650494816672607,0.0480388656468421,0.207009454431104,0.207009454431104,WBGene00185055,Y47D3B.12
142,143,T16G1.6,3.8208294837195503e-07,5.6492166275722e-05,-2.06155621598189,0.40600402779906297,3.7337172867190898,1.8877934539823702,0.0366942082572381,0.21056469762635605,0.121598121084409,0.21056469762635605,WBGene00011800,T16G1.6
58,59,F45E10.2a,5.48450077621457e-10,1.96540338833059e-07,-1.9396118440201298,0.312609957744787,4.87299500026447,0.610124531254065,0.0900758085130795,0.00128567144727831,0.056511670008717,0.056511670008717,WBGene00009729,F45E10.2
33,34,T22C8.2,2.92138989136389e-12,1.81667489626785e-09,-1.90374452242594,0.272685935598193,4.17052847851536,0.807284544794378,0.0217020643185512,0.0296286759081622,0.0898343648910418,0.0898343648910418,WBGene00011923,chhy-1
156,157,F26A3.4,6.887258289707989e-07,9.274987389764079e-05,-1.8995582286755202,0.38262706797712,7.29584643630898,0.7143519688330681,0.0009332027945500971,0.218672006928601,0.0108977393916806,0.218672006928601,WBGene00009142,F26A3.4
333,334,ZK673.1b,2.2588612896013602e-05,0.00142991330077969,-1.81441368396139,0.42816653246935704,3.7653281304990696,1.03433927058945,0.0520978449915126,0.222892024298737,0.118915290992998,0.222892024298737,WBGene00014057,ZK673.1
37,38,C01G6.7,1.45799165022167e-11,8.112188805430741e-09,-1.80076113047748,0.266699551289288,5.1254621597837,0.653391594126763,0.00672678257252429,0.0999661934143371,0.0484433065581891,0.0999661934143371,WBGene00007228,acs-7
103,104,Y50D4B.4,5.14693041668095e-08,1.04636105576813e-05,-1.6523484574799499,0.303397061681612,4.50974903268224,1.57297279747778,0.0228734763857016,0.11520118916985199,0.0711090469840259,0.11520118916985199,WBGene00021743,Y50D4B.4
442,443,ZK39.6,6.64241601407568e-05,0.00317437146016002,-1.6419027039654601,0.411634052050089,4.85484159389614,0.8155143185809609,0.00986994195893956,0.244293947251823,0.0571431750706412,0.244293947251823,WBGene00013931,clec-97
78,79,T08B1.6,8.81382186206792e-09,2.35886880543927e-06,-1.6400635516709299,0.285123986842831,4.70614144519517,0.47405702994649107,0.009520696249036979,0.11242283556069,0.0626567627425132,0.11242283556069,WBGene00020343,acs-3
63,64,ZK287.3,1.4718559753127498e-09,4.86241420094335e-07,-1.62629396883468,0.268923693900415,4.7928517920779,0.51141577739402,0.0101638621581241,0.0983160675534419,0.0593640701759908,0.0983160675534419,WBGene00013964,ZK287.3
1159,1160,M199.5a,0.00192606640451053,0.0350808412203319,-1.5419147993029498,0.49716702931925105,4.60654864567478,3.57207263955854,0.304011621926986,-0.160269023279385,0.0667509606362075,0.0667509606362075,WBGene00000708,col-135
1132,1133,K09A11.3,0.00180281503334092,0.0337295758171207,-1.53749340633654,0.492639663834664,3.41540893239958,1.88697208973133,0.0716657596850271,0.29237499788966903,0.153382817687306,0.29237499788966903,WBGene00010706,cyp-14A2
855,856,T05E7.1,0.000718005646084109,0.0177138779173353,-1.52365453123429,0.45043756550506503,3.53801799450063,2.40803411585155,0.0569923007919869,0.24734869983520802,0.139998286069505,0.24734869983520802,WBGene00020258,T05E7.1
596,597,K02A11.4,0.000214645446433928,0.0076017565727848095,-1.51501432519079,0.40933883710914704,4.17557159355674,0.585062552248467,0.0175928458941447,0.23374457945465804,0.0895225601771616,0.23374457945465804,WBGene00044607,K02A11.4
93,94,Y50D4B.3,2.49750516677991e-08,5.617526780981671e-06,-1.50915753987872,0.270776429673711,4.758375735142621,1.10521002268479,0.0131794240968833,0.09680038820338,0.0606456612942539,0.09680038820338,WBGene00021742,Y50D4B.3
128,129,Y38C9B.1,2.5680325382702197e-07,4.20898542299591e-05,-1.5058598111918402,0.292248432227666,3.9341902218457996,0.452681771302908,0.022401499718076,0.0555634117890926,0.105712219491217,0.105712219491217,WBGene00021412,cyp-29A3
11,12,R03G8.6,2.64430146573383e-19,4.65903882416753e-16,-1.47018741435344,0.16367049362213001,5.59811833930231,0.906492006223887,0.004670604792238,0.0264617197455238,0.0355114409315296,0.0355114409315296,WBGene00011000,R03G8.6
97,98,M05D6.7,3.2384602064563797e-08,6.98681266786808e-06,-1.45680890377626,0.26353127774991103,5.934848715883441,0.367963401136275,0.00316264728131167,0.10101045424744001,0.0276888560103938,0.10101045424744001,WBGene00001523,gbh-2
224,225,F55H12.2,4.6235016946901195e-06,0.000434211939902313,-1.45316394662244,0.31720268234281296,5.1278781250523,0.53293827083429,0.00724032321363486,0.14368598931457802,0.0483714076188897,0.14368598931457802,WBGene00010133,F55H12.2
256,257,C46H11.4a,8.687202985655831e-06,0.000714683006714868,-1.4421913434491398,0.32426949815292605,4.55345340898421,0.410460576163334,0.0451014198717893,0.11262464127673599,0.06909096856604101,0.11262464127673599,WBGene00002979,lfe-2
94,95,D1086.10c,2.8227983084737498e-08,6.21691923292298e-06,-1.38046866395982,0.24863961716844196,7.63201042155286,0.48798448651580295,0.00388314948921264,0.0888493393492915,0.009275535990373491,0.0888493393492915,WBGene00044080,D1086.10
108,109,W07G4.5,7.49935591351282e-08,1.4546686429302899e-05,-1.3756688239703403,0.255758668207801,6.4123063865654,0.359584442378716,0.00181428476760774,0.0963044597775342,0.0194947283771898,0.0963044597775342,WBGene00012339,W07G4.5
183,184,ZC412.4,1.43278798097129e-06,0.00016463824066128302,-1.35411123114847,0.280913288096021,4.0775291936558995,0.9424723308540441,0.0225959938692633,0.0939104565937277,0.0957724192741141,0.0957724192741141,WBGene00013885,ZC412.4
70,71,R02E12.6.1,4.39379229970109e-09,1.3084218393321199e-06,-1.3492627334356897,0.22991055740648103,5.68762191614868,0.717185372396408,0.00662653072362177,0.0726617658868161,0.0332898118471151,0.0726617658868161,WBGene00019830,hrg-1
5,6,Y39B6A.20.4,1.25349111786945e-22,4.41709378418561e-19,-1.31936996701646,0.134778851842164,9.17270303261034,1.47580165232394,0.000958693235417577,0.0262893151204203,0.00700775110505667,0.0262893151204203,WBGene00000214,asp-1
446,447,K10C2.7,6.838224439205451e-05,0.00323446486170293,-1.30210896116241,0.327011427442451,3.63996587690934,0.45999024063760496,0.0303997709649985,0.0555385823059178,0.13000493955192502,0.13000493955192502,WBGene00019622,K10C2.7
168,169,F58E10.3a.3,1.00287379895471e-06,0.000125466039830175,-1.29016102009673,0.26377868908623897,8.42017291064088,0.7268396258405341,0.0971104165282032,-0.00816388408881163,0.00725837869587865,0.00725837869587865,WBGene00010260,ddx-17
810,811,K07C6.5,0.000613846449887612,0.0160135409173632,-1.28818563700626,0.376066321537024,4.58702328062158,2.37060282163552,0.0250165979361692,0.18712221935541398,0.0675978620285574,0.18712221935541398,WBGene00019473,cyp-35A5
129,130,K12B6.9,2.64341886593804e-07,4.28463478147152e-05,-1.27219296552822,0.24716004379443698,4.414705762507969,0.637517985942593,0.0158144617539968,0.0590344499383653,0.0758176691187054,0.0758176691187054,WBGene00023432,K12B6.9
1126,1127,F08H9.8,0.00179483730113618,0.0336719122075618,-1.2632390484849298,0.404594506710584,4.689322726348999,0.7548986313189499,0.0117799273048586,0.23376514498571202,0.0633232633278307,0.23376514498571202,WBGene00008596,clec-54
80,81,Y54G2A.3a,9.760543281677242e-09,2.5477427975864398e-06,-1.24575337899089,0.21722554647499698,6.44388654274385,0.530934531136337,0.0087439274004199,0.0620364796616215,0.0190795049760056,0.0620364796616215,WBGene00021869,Y54G2A.3
415,416,F21F8.7,5.03196167265732e-05,0.00255747032800466,-1.2312660122467098,0.303706032749455,9.72686534707902,0.316639117058018,6.55289757966884e-05,0.138290502516823,0.00774850397240204,0.138290502516823,WBGene00000219,asp-6
458,459,T05C3.6a,7.69536542677986e-05,0.0035447300919042796,-1.22458711145332,0.30973235592819603,4.1048314347401105,2.54904751817104,0.0499103401342851,0.0122843690736539,0.0939908583289611,0.0939908583289611,WBGene00020256,T05C3.6
220,221,F21E9.3,4.366100588115171e-06,0.00041582191321855403,-1.21722018600702,0.265007854485833,5.57959354228853,0.320953472857949,0.00412860302867686,0.1012151413801,0.0359822302256063,0.1012151413801,WBGene00017667,ttr-37
105,106,F18E9.3,6.236710820010509e-08,1.2439884610139801e-05,-1.20867330596529,0.22333712297195799,4.80945012086038,0.29968017724748397,0.0101472264319836,0.0646719793141035,0.0587592270969635,0.0646719793141035,WBGene00017569,F18E9.3
339,340,F32A11.6,2.37725902260552e-05,0.00147830551514554,-1.18467373624914,0.280319997798172,6.097948468496799,0.302321737884727,0.00236360354795722,0.11550534820039399,0.0244854670866038,0.11550534820039399,WBGene00003388,moe-3
1819,1820,R09E12.9,0.0073770798793568295,0.0856997801589238,-1.1843797655863402,0.44204411823873996,3.0859180514227598,0.5551904995511421,0.0644876960588892,0.228616807645309,0.19815888458039302,0.228616807645309,WBGene00044514,R09E12.9
228,229,Y69A2AR.12,4.88881396519573e-06,0.000451190575872817,-1.17940102433047,0.258102673064637,4.45271896090274,0.6319575577751,0.0260466990931284,0.0347582403695339,0.0738787856715377,0.0738787856715377,WBGene00022083,Y69A2AR.12
395,396,C06B3.6.1,4.0547633171512105e-05,0.00216489547511434,-1.17524042966612,0.28634112590227195,7.33664422600814,0.29212259160319104,0.000764557026332425,0.122222303548139,0.010671359187234003,0.122222303548139,WBGene00007365,C06B3.6
379,380,C34D1.4c.1,3.5273107624202e-05,0.0019625771434171103,-1.1577096229172499,0.279880479683257,4.23421719020244,0.26771661762079,0.0315316240523268,0.0813438617926126,0.0859680003092679,0.0859680003092679,WBGene00007931,C34D1.4
1178,1179,C09G9.7a,0.00202621357455335,0.0363360760023592,-1.13067745118914,0.366346241575476,3.39980779990802,0.540917303734901,0.0461088500993766,0.15343697879319299,0.155205502975338,0.155205502975338,WBGene00007496,npax-4
