,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
93,94,F48E8.1a,5.93629601663773e-07,0.000133522453914651,0.9458884924971509,0.189432364852891,7.00334160834389,0.0939077669501315,0.00181595825622633,0.0250975073840928,0.0129918347346754,0.0250975073840928,WBGene00003055,lon-1
986,987,F17C11.4a,0.00303452091062036,0.0650039266598239,0.9689670196742242,0.326887780244067,6.078118334099821,0.24971653790078602,0.00453399774654924,0.0756077179081209,0.0248528268689448,0.0756077179081209,WBGene00008915,F17C11.4
537,538,K07A1.6,0.000548916706696141,0.0215720184566478,0.977473933864325,0.28286049170538297,5.789038198593451,0.30394656750396504,0.00335330605134688,0.0566542372745115,0.0308905435400064,0.0566542372745115,WBGene00010613,K07A1.6
878,879,F10C2.3,0.0023134678728400603,0.0557019345023545,1.03871427076099,0.34092777496138593,4.45178332258096,0.22164308714656197,0.0132482217971653,0.0664718175980539,0.0739255890079258,0.0739255890079258,WBGene00008644,F10C2.3
68,69,Y34B4A.6,2.0472682956579301e-07,6.19647529570568e-05,1.08065109958722,0.208017790328583,7.4003513253753,0.282963220620349,0.000550658145807265,0.0319028926740826,0.010336492144426,0.0319028926740826,WBGene00021322,Y34B4A.6
1042,1043,C03A7.11,0.0035178655383960103,0.0713118227021158,1.08397934961173,0.371424122312012,5.800530217255,0.5890891768344699,0.0036797796172900296,0.0997871293591461,0.0306272471026301,0.0997871293591461,WBGene00015369,ugt-51
375,376,F42A10.9,0.000168158314846102,0.0094557746031679,1.09613540644664,0.291324188936977,4.91964626233172,0.49131212151871995,0.00872742978973549,0.0508933651485874,0.0549249075051051,0.0549249075051051,WBGene00023489,F42A10.9
816,817,C35D10.14,0.0019402925035094199,0.0501295242158168,1.10515147694078,0.356589912310552,6.27063986693043,0.18762504871153798,0.0017631624670265,0.0936041117042088,0.0215498738504038,0.0936041117042088,WBGene00016450,clec-5
742,743,D1086.10c,0.00148732066068698,0.0423235810617831,1.1171783702178701,0.351629518742865,7.63201042155286,0.48798448651580295,0.00388314948921264,0.0888493393492915,0.009275535990373491,0.0888493393492915,WBGene00044080,D1086.10
1090,1091,F32A11.6,0.00382719726742456,0.0741124696858527,1.14650778781232,0.396432342690572,6.097948468496799,0.302321737884727,0.00236360354795722,0.11550534820039399,0.0244854670866038,0.11550534820039399,WBGene00003388,moe-3
891,892,H11E01.2,0.00238634005220775,0.0565371040876931,1.16436892449563,0.38334482045462803,4.15385010399755,0.37772073777322396,0.0193421888414673,0.0770744158174944,0.0908727496855762,0.0908727496855762,WBGene00019187,H11E01.2
909,910,F56C9.7.2,0.0024735146993794897,0.0574698036142643,1.16600511144224,0.38525720610152797,4.46745945943507,0.27863264881813105,0.0381699677496679,0.0189708430500443,0.0731473683901988,0.0731473683901988,WBGene00018951,F56C9.7
913,914,Y40B10A.7,0.00248858947386771,0.0575670101159573,1.19441739756125,0.394884570744614,4.04316724704249,0.201454612820279,0.0187725949206,0.0981777732385185,0.0980627732021675,0.0981777732385185,WBGene00021492,comt-5
