WBID,length
WBGene00007063,1284
WBGene00007063,789
WBGene00007064,1301
WBGene00007064,1706
WBGene00007065,810
WBGene00007065,806
WBGene00003525,1035
WBGene00003525,570
WBGene00007067,1188
WBGene00007067,936
WBGene00007069,296
WBGene00005532,1068
WBGene00004964,1224
WBGene00077503,354
WBGene00007070,1831
WBGene00000024,1403
WBGene00004098,1314
WBGene00007071,3432
WBGene00007071,3477
WBGene00007071,3477
WBGene00000724,987
WBGene00007072,1711
WBGene00007073,1687
WBGene00006428,1286
WBGene00006428,1259
WBGene00004929,2163
WBGene00004929,2366
WBGene00004929,2268
WBGene00004929,2310
WBGene00004929,2046
WBGene00014997,711
WBGene00043988,1320
WBGene00043989,654
WBGene00043990,690
WBGene00007075,1320
WBGene00007076,654
WBGene00007079,690
WBGene00007082,1760
WBGene00007083,738
WBGene00007084,563
WBGene00007085,219
WBGene00001528,3414
WBGene00005032,1194
WBGene00005033,990
WBGene00005034,1053
WBGene00005035,1193
WBGene00219290,297
WBGene00007080,1064
WBGene00007081,791
WBGene00005027,1091
WBGene00003231,1902
WBGene00005028,990
WBGene00005029,1037
WBGene00005030,1049
WBGene00014998,1604
WBGene00000797,1146
WBGene00014999,959
WBGene00015000,1364
WBGene00044701,999
WBGene00003010,995
WBGene00003010,877
WBGene00003010,697
WBGene00003010,877
WBGene00007087,2921
WBGene00007088,1969
WBGene00007088,1921
WBGene00007088,1887
WBGene00007089,1136
WBGene00007090,1860
WBGene00007091,2202
WBGene00007091,2345
WBGene00007092,2614
WBGene00007092,2626
WBGene00007092,554
WBGene00007093,1660
WBGene00007093,1651
WBGene00007093,708
WBGene00000138,2357
WBGene00007094,2345
WBGene00000722,1048
WBGene00007100,1835
WBGene00007101,1818
WBGene00001646,624
WBGene00007102,1022
WBGene00007103,2988
WBGene00007103,3251
WBGene00007103,1511
WBGene00007103,1213
WBGene00007103,3000
WBGene00007103,2155
WBGene00007103,2911
WBGene00007104,1066
WBGene00007104,1388
WBGene00000723,978
WBGene00007096,875
WBGene00007097,1350
WBGene00001533,3249
WBGene00001533,3261
WBGene00000491,3939
WBGene00000491,2163
WBGene00000491,1896
WBGene00000491,1890
WBGene00007099,1034
WBGene00007099,1034
WBGene00006932,2802
WBGene00006932,2224
WBGene00006932,2802
WBGene00006932,2790
WBGene00000814,1630
WBGene00000814,1637
WBGene00015001,585
WBGene00194700,323
WBGene00015002,963
WBGene00015003,120
WBGene00000403,3443
WBGene00000403,1036
WBGene00000403,932
WBGene00015004,692
WBGene00015005,1106
WBGene00044394,277
WBGene00001919,664
WBGene00007110,1445
WBGene00007111,2830
WBGene00007111,2777
WBGene00007111,2882
WBGene00007112,1021
WBGene00001019,1667
WBGene00001019,1695
WBGene00001019,723
WBGene00007113,1121
WBGene00007114,1135
WBGene00044290,273
WBGene00007105,1201
WBGene00007105,1215
WBGene00001020,1255
WBGene00235095,168
WBGene00007106,833
WBGene00007107,548
WBGene00007108,1744
WBGene00007109,2486
WBGene00001921,586
WBGene00001922,504
WBGene00001920,312
WBGene00015006,665
WBGene00206362,427
WBGene00206362,550
WBGene00015007,2343
WBGene00015007,2483
WBGene00015007,2798
WBGene00015007,2906
WBGene00015007,3046
WBGene00015007,2448
WBGene00015008,721
WBGene00004415,1145
WBGene00015009,1529
WBGene00015010,466
WBGene00015010,465
WBGene00006961,4506
WBGene00015011,756
WBGene00015011,865
WBGene00015012,1014
WBGene00015012,1018
WBGene00015014,807
WBGene00015015,651
WBGene00006646,1409
WBGene00007115,1296
WBGene00007115,1162
WBGene00007116,3413
WBGene00015024,1457
WBGene00015024,1502
WBGene00015025,954
WBGene00044413,196
WBGene00044644,444
WBGene00044646,250
WBGene00015017,2669
WBGene00015017,2461
WBGene00015018,927
WBGene00015018,990
WBGene00004466,1273
WBGene00004466,1297
WBGene00015019,1362
WBGene00015020,220
WBGene00015021,1428
WBGene00002191,1467
WBGene00015022,512
WBGene00015023,1915
WBGene00015026,1711
WBGene00015033,270
WBGene00015034,828
WBGene00000232,1251
WBGene00000232,1457
WBGene00000232,720
WBGene00015027,692
WBGene00001676,1107
WBGene00001676,1227
WBGene00000099,1121
WBGene00015028,11033
WBGene00015028,11063
WBGene00015029,974
WBGene00015030,1122
WBGene00015031,426
WBGene00015032,463
WBGene00015035,1871
WBGene00015035,2259
WBGene00015035,2135
WBGene00015036,1189
WBGene00015037,2090
WBGene00015038,1345
WBGene00015038,1340
WBGene00015038,1133
WBGene00015038,572
WBGene00003889,2875
WBGene00015040,1533
WBGene00015041,1497
WBGene00015041,1577
WBGene00015042,1500
WBGene00015043,1650
WBGene00015044,1624
WBGene00015044,1682
WBGene00015044,454
WBGene00015045,1571
WBGene00015046,260
WBGene00003765,603
WBGene00003766,333
WBGene00003767,368
WBGene00003768,718
WBGene00003769,446
WBGene00006142,1002
WBGene00006141,1089
WBGene00006274,1103
WBGene00015047,1855
WBGene00015047,1835
WBGene00015047,1826
WBGene00015047,1884
WBGene00015047,1660
WBGene00015047,1640
WBGene00015047,1631
WBGene00015047,1689
WBGene00015048,1924
WBGene00004055,1651
WBGene00015049,1107
WBGene00015050,1217
WBGene00015050,1208
WBGene00015051,1072
WBGene00015052,989
WBGene00015053,1086
WBGene00015058,796
WBGene00044582,1182
WBGene00235316,351
WBGene00015054,1434
WBGene00015055,1618
WBGene00006418,1774
WBGene00015056,1522
WBGene00000717,953
WBGene00000718,901
WBGene00000599,963
WBGene00015057,3849
WBGene00015059,737
WBGene00015061,5200
WBGene00015061,23416
WBGene00015061,4465
WBGene00015061,8407
WBGene00015062,557
WBGene00015062,598
WBGene00015063,882
WBGene00015064,917
WBGene00015064,966
WBGene00015065,1365
WBGene00015066,1332
WBGene00015067,1800
WBGene00015074,1044
WBGene00015075,1119
WBGene00015076,680
WBGene00044537,263
WBGene00015068,843
WBGene00015069,971
WBGene00015070,972
WBGene00015071,1737
WBGene00015072,1009
WBGene00015072,1104
WBGene00015073,2023
WBGene00004359,1457
WBGene00007117,2514
WBGene00000907,3817
WBGene00000907,3163
WBGene00007118,1975
WBGene00015085,1965
WBGene00015086,595
WBGene00206513,1389
WBGene00002048,2590
WBGene00015079,960
WBGene00015079,1077
WBGene00015079,891
WBGene00015080,1244
WBGene00015081,1581
WBGene00015082,960
WBGene00015083,1802
WBGene00015084,611
WBGene00004413,876
WBGene00007127,921
WBGene00206505,162
WBGene00206505,66
WBGene00007119,841
WBGene00007122,1082
WBGene00007123,852
WBGene00007124,216
WBGene00007125,692
WBGene00007126,1492
WBGene00015087,2564
WBGene00000211,1828
WBGene00015088,1057
WBGene00015088,1599
WBGene00015088,1563
WBGene00000886,447
WBGene00000886,621
WBGene00015089,964
WBGene00044615,308
WBGene00015091,2622
WBGene00002583,8562
WBGene00002583,8553
WBGene00015092,931
WBGene00015092,931
WBGene00015093,606
WBGene00015094,595
WBGene00015094,255
WBGene00015095,1159
WBGene00015096,648
WBGene00195057,504
WBGene00006538,1564
WBGene00007128,642
WBGene00007129,1055
WBGene00007130,868
WBGene00206473,410
WBGene00015097,765
WBGene00015097,350
WBGene00004243,1852
WBGene00004243,1880
WBGene00015098,1422
WBGene00006745,3025
WBGene00006745,2146
WBGene00006745,3107
WBGene00006745,2701
WBGene00006745,2548
WBGene00006745,2423
WBGene00015105,1152
WBGene00015106,1390
WBGene00001613,2727
WBGene00001613,2934
WBGene00015107,1907
WBGene00044674,909
WBGene00015099,1157
WBGene00015099,2236
WBGene00015100,2007
WBGene00015101,950
WBGene00015101,987
WBGene00003845,729
WBGene00015102,1729
WBGene00015103,1152
WBGene00003609,1541
WBGene00015104,1400
WBGene00015108,591
WBGene00015110,1067
WBGene00015111,696
WBGene00015112,782
WBGene00015112,629
WBGene00015113,732
WBGene00015114,879
WBGene00007131,1663
WBGene00007132,1399
WBGene00007133,612
WBGene00007134,1263
WBGene00000513,1107
WBGene00007135,2444
WBGene00007135,2456
WBGene00007135,2447
WBGene00007136,1038
WBGene00007137,1152
WBGene00002003,2198
WBGene00007138,1734
WBGene00007139,2864
WBGene00000511,1259
WBGene00000512,1315
WBGene00015115,1020
WBGene00002252,4369
WBGene00002252,1934
WBGene00015116,1447
WBGene00003825,1599
WBGene00003825,1883
WBGene00003825,1327
WBGene00003825,1468
WBGene00003825,1619
WBGene00003825,1532
WBGene00003825,1746
WBGene00003825,1312
WBGene00003825,1292
WBGene00003825,1532
WBGene00001438,972
WBGene00023425,914
WBGene00015117,626
WBGene00015118,207
WBGene00002207,4042
WBGene00002207,4282
WBGene00002207,3721
WBGene00002207,3961
WBGene00002207,1780
WBGene00015119,409
WBGene00015121,219
WBGene00015122,755
WBGene00015131,2920
WBGene00015131,2974
WBGene00015132,1585
WBGene00015133,690
WBGene00044678,927
WBGene00015124,978
WBGene00015125,1876
WBGene00015125,1916
WBGene00015126,2184
WBGene00015126,2276
WBGene00015128,1758
WBGene00015128,1743
WBGene00015129,805
WBGene00015130,1989
WBGene00001948,1050
WBGene00001948,1062
WBGene00001948,1084
WBGene00015134,825
WBGene00015135,1719
WBGene00015136,625
WBGene00005058,1047
WBGene00005059,992
WBGene00005060,1068
WBGene00005061,1020
WBGene00005062,1065
WBGene00015137,795
WBGene00015137,999
WBGene00015138,1573
WBGene00015139,1322
WBGene00015141,1779
WBGene00015142,288
WBGene00007140,1587
WBGene00007141,1636
WBGene00007142,543
WBGene00007142,571
WBGene00007148,549
WBGene00003868,1580
WBGene00003868,1574
WBGene00007149,512
WBGene00195248,694
WBGene00219293,206
WBGene00006660,954
WBGene00006660,1017
WBGene00006660,1076
WBGene00007143,2008
WBGene00007143,2066
WBGene00007143,2037
WBGene00007144,832
WBGene00007145,1414
WBGene00007146,1372
WBGene00005267,1017
WBGene00000090,3766
WBGene00000090,428
WBGene00004435,511
WBGene00004435,469
WBGene00004435,718
WBGene00015148,1725
WBGene00015148,834
WBGene00015149,282
WBGene00015150,1074
WBGene00006943,2788
WBGene00006943,2771
WBGene00000182,1212
WBGene00000182,1158
WBGene00015143,2674
WBGene00004348,1983
WBGene00004348,1884
WBGene00015145,847
WBGene00015145,857
WBGene00015146,1556
WBGene00015146,1566
WBGene00015147,1572
WBGene00015147,1548
WBGene00002982,430
WBGene00006359,2338
WBGene00006359,2272
WBGene00006359,600
WBGene00006359,2349
WBGene00006359,571
WBGene00006955,1665
WBGene00015151,264
WBGene00255704,363
WBGene00015152,308
WBGene00015152,132
WBGene00001177,4978
WBGene00001177,5014
WBGene00001177,2223
WBGene00001177,5257
WBGene00001177,5221
WBGene00001177,4939
WBGene00001177,4903
WBGene00001177,4696
WBGene00001177,4660
WBGene00001177,4759
WBGene00001177,4723
WBGene00001177,4516
WBGene00001177,4480
WBGene00001177,5173
WBGene00001177,5137
WBGene00001177,4930
WBGene00001177,4894
WBGene00001177,4855
WBGene00001177,4819
WBGene00001177,4612
WBGene00001177,4576
WBGene00001177,4675
WBGene00001177,4639
WBGene00001177,4432
WBGene00001177,4396
WBGene00015153,1178
WBGene00015153,798
WBGene00002061,1098
WBGene00002061,940
WBGene00002061,1107
WBGene00002061,949
WBGene00002061,1104
WBGene00002061,946
WBGene00006780,1200
WBGene00006780,2982
WBGene00006780,5830
WBGene00006780,5938
WBGene00006780,2629
WBGene00006780,5752
WBGene00006780,5860
WBGene00006780,21737
WBGene00006780,21845
WBGene00006780,3172
WBGene00006780,3280
WBGene00006780,5668
WBGene00006780,5776
WBGene00006780,3665
WBGene00006780,3503
WBGene00015155,556
WBGene00015155,641
WBGene00015164,1133
WBGene00015164,733
WBGene00015165,1779
WBGene00015156,1480
WBGene00015156,431
WBGene00015157,2007
WBGene00015157,2065
WBGene00015158,1238
WBGene00015159,1443
WBGene00015159,1434
WBGene00015160,1336
WBGene00015161,1466
WBGene00015162,1537
WBGene00015163,1088
WBGene00007150,3400
WBGene00001137,3238
WBGene00001137,3153
WBGene00007152,497
WBGene00007152,429
WBGene00007153,1927
WBGene00007153,1955
WBGene00007153,1926
WBGene00007154,9828
WBGene00219208,824
WBGene00007155,804
WBGene00007156,725
WBGene00003508,3940
WBGene00003508,3928
WBGene00007054,1943
WBGene00007054,1675
WBGene00007054,895
WBGene00007158,405
WBGene00007159,1359
WBGene00007159,1307
WBGene00007166,1177
WBGene00007166,1001
WBGene00006289,1089
WBGene00206462,411
WBGene00007161,963
WBGene00006080,1340
WBGene00007162,1143
WBGene00007163,1553
WBGene00007164,288
WBGene00004469,987
WBGene00004469,1019
WBGene00007167,2028
WBGene00007167,2121
WBGene00007168,2110
WBGene00007169,2554
WBGene00007170,3738
WBGene00007171,1498
WBGene00007172,882
WBGene00007173,402
WBGene00044636,714
WBGene00044636,913
WBGene00003729,1613
WBGene00007174,1559
WBGene00007175,2028
WBGene00007175,2093
WBGene00007176,2611
WBGene00007176,2475
WBGene00007176,1942
WBGene00007176,2397
WBGene00007176,2278
WBGene00007176,2388
WBGene00007177,2012
WBGene00006712,2238
WBGene00015167,818
WBGene00015168,1640
WBGene00015169,1856
WBGene00043982,927
WBGene00015170,324
WBGene00015171,1904
WBGene00015171,1892
WBGene00015172,858
WBGene00000895,1377
WBGene00000895,1334
WBGene00000903,1652
WBGene00015173,3403
WBGene00015173,3406
WBGene00004498,311
WBGene00015175,1059
WBGene00004393,1512
WBGene00001856,867
WBGene00000772,2806
WBGene00001600,2493
WBGene00003472,4430
WBGene00003472,4368
WBGene00015176,2281
WBGene00015176,2251
WBGene00015177,3881
WBGene00206482,737
WBGene00206483,425
WBGene00015178,637
WBGene00015179,974
WBGene00015180,760
WBGene00015181,1979
WBGene00015181,1833
WBGene00001638,1715
WBGene00015182,493
WBGene00015182,321
WBGene00015183,957
WBGene00015191,1054
WBGene00015191,1486
WBGene00015192,628
WBGene00015193,581
WBGene00015194,1425
WBGene00015194,1491
WBGene00044640,790
WBGene00044640,353
WBGene00015184,721
WBGene00015185,637
WBGene00015186,1078
WBGene00015186,1154
WBGene00000296,1672
WBGene00000296,1496
WBGene00000296,1675
WBGene00015188,2857
WBGene00015188,2616
WBGene00015189,1064
WBGene00015189,1221
WBGene00015190,717
WBGene00002997,1477
WBGene00005542,1073
WBGene00005543,975
WBGene00206372,501
WBGene00005540,1090
WBGene00005541,1011
WBGene00015196,617
WBGene00015197,1971
WBGene00015198,1260
WBGene00015199,1927
WBGene00015200,1135
WBGene00002251,3638
WBGene00002251,3632
WBGene00002251,722
WBGene00007178,1150
WBGene00007179,885
WBGene00007180,584
WBGene00007182,983
WBGene00007183,398
WBGene00194695,780
WBGene00001094,1761
WBGene00001094,1782
WBGene00007184,3920
WBGene00007184,692
WBGene00007185,347
WBGene00007185,465
WBGene00000268,2033
WBGene00000268,2115
WBGene00004980,3771
WBGene00004980,3605
WBGene00004980,2288
WBGene00004980,2339
WBGene00004980,2785
WBGene00004980,2619
WBGene00004980,2836
WBGene00004980,2624
WBGene00004980,2476
WBGene00004980,2458
WBGene00004980,2484
WBGene00007186,2076
WBGene00007186,2270
WBGene00000235,555
WBGene00007187,1128
WBGene00007188,1181
WBGene00002178,1552
WBGene00002178,1449
WBGene00002178,1453
WBGene00015202,456
WBGene00007189,1431
WBGene00005016,1042
WBGene00005016,1027
WBGene00005016,1037
WBGene00007190,795
WBGene00007191,1522
WBGene00007192,1141
WBGene00007192,1119
WBGene00007192,1218
WBGene00007193,1765
WBGene00007193,1686
WBGene00007194,976
WBGene00000529,3005
WBGene00000529,2990
WBGene00000529,2901
WBGene00005149,1068
WBGene00007044,2334
WBGene00007044,2259
WBGene00007044,2338
WBGene00015203,2593
WBGene00003730,2058
WBGene00015204,2276
WBGene00015204,2288
WBGene00015205,471
WBGene00015206,2994
WBGene00015206,2858
WBGene00015207,1123
WBGene00015207,379
WBGene00015207,381
WBGene00015208,927
WBGene00015210,938
WBGene00194883,367
WBGene00015211,1126
WBGene00006814,4762
WBGene00006814,5047
WBGene00006814,1689
WBGene00006814,4975
WBGene00006814,5688
WBGene00006814,5686
WBGene00006814,4945
WBGene00006814,4783
WBGene00006814,4753
WBGene00006814,5090
WBGene00015214,1298
WBGene00015215,717
WBGene00015216,441
WBGene00015217,1669
WBGene00015218,1987
WBGene00015227,1430
WBGene00006006,939
WBGene00202499,821
WBGene00015219,1446
WBGene00015220,1443
WBGene00015220,1091
WBGene00015221,636
WBGene00015222,645
WBGene00015222,602
WBGene00015223,2204
WBGene00015224,697
WBGene00015225,1276
WBGene00015226,836
WBGene00001432,1007
WBGene00001228,1720
WBGene00015236,1736
WBGene00015237,6894
WBGene00015237,6816
WBGene00015238,726
