WBID,length
WBGene00000001,1787
WBGene00000002,1940
WBGene00000003,1728
WBGene00000004,1739
WBGene00000005,1734
WBGene00000005,1598
WBGene00000006,1840
WBGene00000006,1606
WBGene00000006,1671
WBGene00000006,1618
WBGene00000007,1765
WBGene00000007,1684
WBGene00000007,1784
WBGene00000008,1503
WBGene00000009,1452
WBGene00000010,2022
WBGene00000010,1958
WBGene00000012,258
WBGene00000013,414
WBGene00000014,270
WBGene00000015,381
WBGene00000016,484
WBGene00000017,646
WBGene00000018,4081
WBGene00000018,4012
WBGene00000018,3997
WBGene00000019,4715
WBGene00000019,4726
WBGene00000020,6670
WBGene00000020,6559
WBGene00000022,5545
WBGene00000023,4724
WBGene00000024,1403
WBGene00000025,1719
WBGene00000026,729
WBGene00000027,1020
WBGene00000028,1008
WBGene00000029,1174
WBGene00000030,1317
WBGene00000031,1525
WBGene00000032,1137
WBGene00000033,1271
WBGene00000034,1273
WBGene00000035,1984
WBGene00000035,2525
WBGene00000036,1995
WBGene00000037,2168
WBGene00000038,1930
WBGene00000039,3282
WBGene00000039,1560
WBGene00000040,3072
WBGene00000041,2709
WBGene00000041,2365
WBGene00000041,2500
WBGene00000041,2562
WBGene00000042,1888
WBGene00000043,1660
WBGene00000044,1800
WBGene00000045,1666
WBGene00000046,1692
WBGene00000047,1758
WBGene00000048,1909
WBGene00000049,1680
WBGene00000050,1445
WBGene00000051,1926
WBGene00000053,1595
WBGene00000054,1506
WBGene00000055,1797
WBGene00000055,2176
WBGene00000056,1359
WBGene00000056,1616
WBGene00000057,1617
WBGene00000058,1858
WBGene00000058,1841
WBGene00000059,1702
WBGene00000059,1693
WBGene00000059,1841
WBGene00000060,1410
WBGene00000061,1435
WBGene00000062,1718
WBGene00000063,1264
WBGene00000063,1366
WBGene00000063,1346
WBGene00000063,1277
WBGene00000064,1321
WBGene00000064,1335
WBGene00000065,1480
WBGene00000065,1564
WBGene00000065,1559
WBGene00000066,1672
WBGene00000066,1599
WBGene00000066,1603
WBGene00000066,1606
WBGene00000066,1596
WBGene00000066,1541
WBGene00000066,1576
WBGene00000066,1633
WBGene00000067,1343
WBGene00000067,1344
WBGene00000068,4068
WBGene00000069,3343
WBGene00000070,4064
WBGene00000071,3269
WBGene00000072,2213
WBGene00000072,2525
WBGene00000072,2428
WBGene00000072,2049
WBGene00000072,2611
WBGene00000073,1990
WBGene00000073,2032
WBGene00000073,1052
WBGene00000074,3227
WBGene00000075,2342
WBGene00000079,3023
WBGene00000079,2851
WBGene00000079,2794
WBGene00000079,3119
WBGene00000079,370
WBGene00000080,1697
WBGene00000081,1886
WBGene00000082,4802
WBGene00000083,3788
WBGene00000083,3910
WBGene00000083,1163
WBGene00000083,3027
WBGene00000083,3149
WBGene00000084,3221
WBGene00000084,3222
WBGene00000085,1220
WBGene00000086,4574
WBGene00000086,4428
WBGene00000088,1780
WBGene00000089,946
WBGene00000090,3766
WBGene00000092,2137
WBGene00000092,2166
WBGene00000092,375
WBGene00000093,598
WBGene00000093,579
WBGene00000093,574
WBGene00000094,1231
WBGene00000095,1605
WBGene00000095,1599
WBGene00000096,1841
WBGene00000096,1803
WBGene00000097,1059
WBGene00000098,1343
WBGene00000098,1421
WBGene00000099,1121
WBGene00000100,4737
WBGene00000100,2842
WBGene00000100,3829
WBGene00000100,4614
WBGene00000100,3084
WBGene00000101,4264
WBGene00000101,4305
WBGene00000101,4279
WBGene00000101,4317
WBGene00000101,1953
WBGene00000101,1991
WBGene00000102,2119
WBGene00000102,2134
WBGene00000102,1996
WBGene00000103,2002
WBGene00000103,2381
WBGene00000105,4587
WBGene00000105,4968
WBGene00000106,3247
WBGene00000106,3156
WBGene00000107,1608
WBGene00000107,1703
WBGene00000107,1607
WBGene00000107,1702
WBGene00000107,1666
WBGene00000107,1387
WBGene00000108,1641
WBGene00000109,2866
WBGene00000110,1583
WBGene00000110,1596
WBGene00000110,1910
WBGene00000110,1923
WBGene00000110,1669
WBGene00000110,1682
WBGene00000111,1379
WBGene00000112,1840
WBGene00000112,1936
WBGene00000112,1850
WBGene00000112,1542
WBGene00000112,1638
WBGene00000112,1552
WBGene00000112,1823
WBGene00000112,1919
WBGene00000112,1833
WBGene00000112,1660
WBGene00000112,1936
WBGene00000113,1748
WBGene00000113,1567
WBGene00000113,872
WBGene00000114,1789
WBGene00000114,1828
WBGene00000114,1840
WBGene00000114,1824
WBGene00000115,1832
WBGene00000115,1952
WBGene00000116,1656
WBGene00000117,2154
WBGene00000117,1588
WBGene00000118,1587
WBGene00000118,1656
WBGene00000118,1650
WBGene00000118,1719
WBGene00000120,772
WBGene00000121,791
WBGene00000122,959
WBGene00000122,1093
WBGene00000122,1139
WBGene00000123,6024
WBGene00000133,1728
WBGene00000134,1569
WBGene00000135,2360
WBGene00000136,1883
WBGene00000137,2642
WBGene00000138,2357
WBGene00000139,1398
WBGene00000139,1131
WBGene00000140,25871
WBGene00000142,1240
WBGene00000143,2323
WBGene00000144,771
WBGene00000144,765
WBGene00000144,775
WBGene00000144,697
WBGene00000144,697
WBGene00000144,770
WBGene00000145,565
WBGene00000146,2753
WBGene00000146,2541
WBGene00000146,1807
WBGene00000146,1449
WBGene00000147,1107
WBGene00000148,2375
WBGene00000148,2381
WBGene00000149,2729
WBGene00000149,2723
WBGene00000150,1604
WBGene00000151,1279
WBGene00000155,2097
WBGene00000155,2337
WBGene00000156,3894
WBGene00000156,3900
WBGene00000157,576
WBGene00000158,3014
WBGene00000159,613
WBGene00000160,3112
WBGene00000160,903
WBGene00000160,2496
WBGene00000161,3372
WBGene00000161,3297
WBGene00000162,4130
WBGene00000162,3417
WBGene00000163,2926
WBGene00000163,2896
WBGene00000164,1454
WBGene00000165,638
WBGene00000166,2154
WBGene00000168,2267
WBGene00000169,1026
WBGene00000169,988
WBGene00000169,1006
WBGene00000170,1189
WBGene00000170,1195
WBGene00000170,1204
WBGene00000170,1207
WBGene00000170,1076
WBGene00000170,1222
WBGene00000171,1386
WBGene00000171,1089
WBGene00000172,1001
WBGene00000173,1050
WBGene00000174,741
WBGene00000174,870
WBGene00000174,876
WBGene00000174,281
WBGene00000175,1141
WBGene00000175,1237
WBGene00000176,1022
WBGene00000176,1134
WBGene00000177,830
WBGene00000177,767
WBGene00000178,990
WBGene00000179,908
WBGene00000180,1705
WBGene00000181,916
WBGene00000181,701
WBGene00000181,830
WBGene00000182,1212
WBGene00000182,1158
WBGene00000183,988
WBGene00000184,615
WBGene00000185,1074
WBGene00000185,1050
WBGene00000186,3509
WBGene00000186,3575
WBGene00000187,966
WBGene00000187,1021
WBGene00000188,555
WBGene00000189,715
WBGene00000190,679
WBGene00000192,1067
WBGene00000193,573
WBGene00000195,1530
WBGene00000196,2607
WBGene00000196,2356
WBGene00000197,3459
WBGene00000197,3460
WBGene00000197,3472
WBGene00000198,1136
WBGene00000199,1651
WBGene00000200,1703
WBGene00000201,1376
WBGene00000202,865
WBGene00000203,699
WBGene00000204,810
WBGene00000205,723
WBGene00000206,1028
WBGene00000206,1151
WBGene00000207,1185
WBGene00000207,1065
WBGene00000207,1208
WBGene00000208,1344
WBGene00000209,477
WBGene00000210,522
WBGene00000211,1828
WBGene00000212,1935
WBGene00000213,1864
WBGene00000213,1714
WBGene00000214,1304
WBGene00000214,1374
WBGene00000214,1304
WBGene00000214,1298
WBGene00000215,2391
WBGene00000215,1775
WBGene00000216,1468
WBGene00000217,1475
WBGene00000218,1243
WBGene00000218,1253
WBGene00000219,1240
WBGene00000220,1407
WBGene00000221,1067
WBGene00000221,998
WBGene00000222,2377
WBGene00000223,2155
WBGene00000223,2164
WBGene00000223,2281
WBGene00000223,2307
WBGene00000223,2083
WBGene00000223,2015
WBGene00000224,1968
WBGene00000224,863
WBGene00000225,2234
WBGene00000225,2091
WBGene00000225,1243
WBGene00000225,1023
WBGene00000226,7715
WBGene00000226,7712
WBGene00000226,3293
WBGene00000227,7664
WBGene00000227,5621
WBGene00000228,3171
WBGene00000228,3093
WBGene00000228,3047
WBGene00000228,2969
WBGene00000229,1937
WBGene00000229,1846
WBGene00000230,861
WBGene00000230,943
WBGene00000230,896
WBGene00000230,942
WBGene00000230,914
WBGene00000230,949
WBGene00000231,3612
WBGene00000231,2527
WBGene00000231,3190
WBGene00000231,3695
WBGene00000232,1251
WBGene00000232,1457
WBGene00000232,720
WBGene00000233,2221
WBGene00000233,1665
WBGene00000233,1826
WBGene00000233,733
WBGene00000235,555
WBGene00000236,708
WBGene00000237,3399
WBGene00000238,2594
