Gene	L3	L4	nhr-67	N2	max_wtLC/N2	RNAi_screen	Protein size(s)	Protein feature	TF	Disease ortholog	Strict human ortholog	NCBI KOG	Bork KOG	PFAM domain	WBPhenotype	NOT WBPheno
WBGene00044140|F42F12.11	561.53	0	0	0	56153		182 aa	Seg								
WBGene00045512|Y60A3A.27	357.7	0	0	0	35770											
WBGene00010333|F59E10.3	48.18	71.09	52.38	0	7109		184 aa					"KOG3343 (Vesicle coat complex COPI, zeta subunit)"	"COG5541: Vesicle coat complex COPI, zeta subunit; KOG3343: Vesicle coat complex COPI, zeta subunit; meNOG07961: Subunit zeta"	PF01217: Clathrin adaptor complex small chain	WBPhenotype: Adl; Clr; Emb; Lvl; Mlt; Ste; cell secretion variant; pattern of transgene expression variant; receptor mediated endocytosis defective; transgene subcellular localization variant	NOT WBPheno: Bmd; Variant
WBGene00044394|B0034.7	65.85	8.83	0	0	6585		78 aa	Seg								
WBGene00015380|C03B1.10	18.32	58.23	1014.59	0	5823		52 aa	Seg								NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00017181|F02E11.3	53.63	0	0	0	5363		261 aa	Seg								NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00019873|R05C11.1	46.26	0.69	39.25	0	4626		203 aa	Seg						"PF02752: Arrestin (or S-antigen), C-terminal domain"		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00002017|T27E4.2|hsp-16.11	18.71	40.83	60.41	0	4083		145 aa					KOG3591 (Alpha crystallins)	KOG3591: Alpha crystallins	PF00011: Hsp20/alpha crystallin family		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00019368|K03H6.2	40.73	0.2	0	0	4073		339 aa	SignalP; Seg					KOG4569: Predicted lipase	PF01764: Lipase (class 3)		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00008564|F08A8.1|acox-1	36.29	2.65	24.72	0	3629	WT_RNAi	562-674 aa			OMIM_2010		KOG0136 (Acyl-CoA oxidase)	COG1960: Acyl-CoA dehydrogenases; KOG0136: Acyl-CoA oxidase; meNOG07186: Acyl-Coenzyme A oxidase 1	"PF01756: Acyl-CoA oxidase; PF02770: Acyl-CoA dehydrogenase, middle domain"		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00011873|T20G5.12	35.96	0	0	0	3596	WT_RNAi	216 aa	SignalP; Seg				TWOG0197 (Fibronectin)		PF01682: DB module		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00012193|W02A11.2|vps-25	26.45	35.78	32.4	0	3578	WT_RNAi	183 aa				StrictHumOrth	KOG4068 (Uncharacterized conserved protein)	KOG4068: Uncharacterized conserved protein; meNOG10690: Vacuolar protein sorting-associated protein 25	PF05871: ESCRT-II complex subunit	WBPhenotype: Gro	NOT WBPheno: Bmd; Emb; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; transgene expression reduced
WBGene00044772|T23E7.6	35.43	2.99	0	0	3543		69 aa	Tmhmm								
WBGene00002015|T27E4.8|hsp-16.1	16.19	34.52	55.53	0	3452		145 aa					KOG3591 (Alpha crystallins)	KOG3591: Alpha crystallins	PF00011: Hsp20/alpha crystallin family		
WBGene00044147|M163.11	0	31.61	0	0	3161		224 aa	Seg					meNOG20151: Serine-Type endopeptidase	PF01549: ShK domain-like		
WBGene00001962|F57C12.3|hlh-19	31.32	0	0	0	3132	nonwt_RNAi	111 aa	Ncoils	Thomas+W_TF					PF00010: Helix-loop-helix DNA-binding domain		NOT WBPheno: Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; neuronal cell fate specification variant; postembryonic development variant
WBGene00019303|K02D10.3	0	30.26	0	0	3026		105 aa	Seg								NOT WBPheno: Bmd; Emb; Let; Ste; Variant; embryonic development variant; postembryonic development variant
WBGene00013060|Y51A2A.4	0	29.96	0	0	2996		114 aa	SignalP; Seg							WBPhenotype: Emb	NOT WBPheno: Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00016903|C53D5.2	176.65	2.88	0	0.06	2944.17		254 aa	Tmhmm; Seg					COG5183: Protein involved in mRNA turnover and stability; KOG1609: Protein involved in mRNA turnover and stability; meNOG11174: Membrane associated ring finger protein	"PF00097: Zinc finger, C3HC4 type (RING finger)"		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00015361|C02H6.1	0	29.14	0	0	2914	WT_RNAi	334 aa	SignalP; Tmhmm; Seg				KOG2246 (Galactosyltransferases)	KOG2246: Galactosyltransferases; meNOG04292: N-Acetylgalactosamine protein	PF01762: Galactosyltransferase; PF02434: Fringe-like		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00016423|C34H3.1|tag-275	5.2	27.33	13.53	0	2733	WT_RNAi	472 aa	SignalP; Tmhmm; Seg				"KOG3607 (Meltrins, fertilins and related Zn-dependent metalloproteinases of the ADAMs family)"	"KOG3607: Meltrins, fertilins and related Zn-dependent metalloproteinases of the ADAMs family"	PF01421: Reprolysin (M12B) family zinc metalloprotease		NOT WBPheno: Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
